Attribute,Index,Clean Value,Dirty Value
fname,826,Jun'ichi,Jun''ichi
fname,2151,M'hamed,M''hamed
fname,2653,Jun'ichi,Jun''ichi
fname,2924,Sei'ichi,Sei''ichi
fname,3339,Its'hak,Its''hak
fname,3535,Jun'ichi,Jun''ichi
fname,3556,M'Lissa,M''Lissa
fname,3631,Shin'ichi,Shin''ichi
fname,5401,M'Lissa,M''Lissa
fname,9235,Jun'ichi,Jun''ichi
fname,9925,Ken'ichi,Ken''ichi
lname,230,d'Argence,d''Argence
lname,945,D'Amiano,D''Amiano
lname,1135,Give'on,Give''on
lname,1519,O'Boyle,O''Boyle
lname,2275,O'Donoghue,O''Donoghue
lname,2874,D'Auria,D''Auria
lname,3293,O'Young,O''Young
lname,3306,d'Astous,d''Astous
lname,3678,d'Acierno,d''Acierno
lname,3808,D'Agostino,D''Agostino
lname,3878,d'Alcantara,d''Alcantara
lname,4003,D'Agostino,D''Agostino
lname,4172,D'Ambra,D''Ambra
lname,4223,d'Astous,d''Astous
lname,4695,O'Reagan,O''Reagan
lname,4812,D'Hooge,D''Hooge
lname,5247,D'Amiano,D''Amiano
lname,5953,D'Hooge,D''Hooge
lname,6513,Il'in,Il''in
lname,6842,D'Aloisi,D''Aloisi
lname,6865,O'Halloran,O''Halloran
lname,6992,Vorc'h,Vorc''h
lname,6993,N'Dong,N''Dong
lname,7186,O'Hallaron,O''Hallaron
lname,7193,D'Auria,D''Auria
lname,7270,D'Auria,D''Auria
lname,7337,O'Callaghan,O''Callaghan
lname,7750,d'Astous,d''Astous
lname,8442,D'Ambra,D''Ambra
lname,9125,d'Inverno,d''Inverno
lname,9151,d'Argence,d''Argence
lname,9426,D'Auria,D''Auria
lname,9606,d'Inverno,d''Inverno
city,1352,ARCADIA,ARCADIA-*
state,3301,AK,AK-*
state,4405,AK,AK-*
state,4492,AK,AK-*
state,4536,AK,AK-*
state,6177,AK,AK-*
state,7668,AK,AK-*
state,8773,AK,AK-*
state,9924,DE,AR
state,9927,MN,AR
state,9928,SD,AR
state,9931,ME,AR
state,9932,NE,AR
state,9934,OR,AR
state,9935,NE,AR
state,9936,MT,AR
state,9938,IL,AR
state,9939,HI,AR
state,9940,CA,AR
state,9943,DE,AR
state,9944,WA,AR
state,9946,GA,AR
state,9948,AZ,AR
state,9950,HI,AR
state,9953,NV,AR
state,9954,ID,AR
state,9955,TN,AR
state,9956,ME,AR
state,9958,NE,AR
state,9959,OR,AR
state,9967,UT,AR
state,9969,OR,AR
state,9970,SC,AR
state,9973,OH,AR
state,9974,OH,AR
state,9976,MI,AR
state,9977,VA,AR
state,9980,NH,AR
state,9981,NY,AR
state,9982,AK,AR
state,9983,IL,AR
state,9985,CO,AR
state,9987,ID,AR
state,9988,GA,AR
state,9993,DE,AR
state,9994,OR,AR
state,9995,NM,AR
state,9996,RI,AR
state,9997,MO,AR
state,9998,DE,AR
state,9999,WV,AR
zip,4548,63531,1907
zip,4549,96727,1907
zip,4550,2020,1907
zip,4551,96762,1907
zip,4552,95209,1907
zip,4553,54644,1907
zip,4554,84157,1907
zip,4555,99901,1907
zip,4556,83606,1907
zip,4557,68134,1907
zip,4558,5449,1907
zip,4559,73437,1907
zip,4560,97463,1907
zip,4561,47635,1907
zip,4562,3911,1907
zip,4563,56052,1907
zip,4564,45415,1907
zip,4565,83526,1907
zip,4566,89014,1907
zip,4567,22437,1907
zip,4568,2828,1907
zip,4569,5353,1907
zip,4570,82732,1907
zip,4571,29581,1907
zip,4572,67529,1907
zip,4573,68801,1907
zip,4574,4070,1907
zip,4575,78299,1907
zip,4576,69125,1907
zip,4577,51343,1907
zip,4578,88062,1907
zip,4579,4050,1907
zip,4580,79770,1907
zip,4581,98063,1907
zip,4582,2825,1907
zip,4583,76631,1907
zip,4584,6370,1907
zip,4585,87115,1907
zip,4586,71858,1907
zip,4587,36802,1907
zip,4588,71009,1907
zip,4589,4488,1907
zip,4590,84165,1907
zip,4591,58420,1907
zip,4592,47439,1907
zip,4593,16112,1907
zip,4594,95663,1907
zip,4595,20002,1907
zip,4596,2331,1907
zip,4597,55919,1907
zip,4598,80107,1907
zip,4599,71415,1907
zip,4600,97756,1907
zip,4601,87715,1907
zip,4602,82214,1907
zip,4603,22217,1907
zip,4604,99675,1907
zip,4605,27602,1907
zip,4606,82327,1907
zip,4607,72651,1907
zip,4608,26219,1907
zip,4609,49654,1907
zip,4610,23488,1907
zip,4611,87743,1907
zip,4612,76078,1907
zip,4613,39649,1907
zip,4614,81126,1907
zip,4615,22542,1907
zip,4616,21722,1907
zip,4617,19901,1907
zip,4618,35202,1907
zip,4619,47326,1907
zip,4620,56120,1907
zip,4621,67566,1907
zip,4622,89802,1907
zip,4623,2770,1907
zip,4624,8048,1907
zip,4625,61722,1907
zip,4626,68114,1907
zip,4627,68505,1907
zip,4628,77831,1907
zip,4629,37137,1907
zip,4630,97601,1907
zip,4631,67152,1907
zip,4632,62419,1907
zip,4633,19941,1907
zip,4634,28016,1907
zip,4635,29424,1907
zip,4636,23347,1907
zip,4637,97844,1907
zip,4638,83126,1907
zip,4639,74956,1907
zip,4640,2361,1907
zip,4641,29452,1907
zip,4642,72576,1907
zip,4643,89423,1907
zip,4644,54915,1907
zip,4645,50152,1907
zip,4646,25322,1907
zip,4647,6107,1907
zip,4648,52245,1907
zip,4649,96779,1907
zip,4650,5872,1907
zip,4651,58338,1907
zip,4652,70127,1907
zip,4653,25632,1907
zip,4654,29729,1907
zip,4655,84124,1907
zip,4656,25133,1907
zip,4657,2808,1907
zip,4658,71665,1907
zip,4659,3287,1907
zip,4660,30375,1907
zip,4661,81420,1907
zip,4662,62204,1907
zip,4663,96772,1907
zip,4664,26537,1907
zip,4665,2554,1907
zip,4666,96819,1907
zip,4667,60159,1907
zip,4668,28220,1907
zip,4669,58069,1907
zip,4670,70802,1907
zip,4671,3465,1907
zip,4672,83233,1907
zip,4673,69041,1907
zip,4674,87185,1907
zip,4675,71162,1907
zip,4676,59626,1907
zip,4677,63013,1907
zip,4678,35151,1907
zip,4679,96815,1907
zip,4680,84621,1907
zip,4681,2872,1907
zip,4682,84111,1907
zip,4683,36852,1907
zip,4684,38701,1907
zip,4685,35221,1907
zip,4686,65446,1907
zip,4687,22908,1907
zip,4688,99555,1907
zip,4689,97602,1907
zip,4690,63160,1907
zip,4691,80122,1907
zip,4692,80540,1907
zip,4693,2823,1907
zip,4694,82005,1907
zip,4695,21235,1907
zip,4696,6614,1907
zip,4697,6702,1907
zip,4698,90017,1907
zip,4699,922,1907
zip,4700,84090,1907
zip,4701,3031,1907
zip,4702,75884,1907
zip,4703,6232,1907
zip,4704,38336,1907
zip,4705,68430,1907
zip,4706,78236,1907
zip,4707,59263,1907
zip,4708,12489,1907
zip,4709,96810,1907
zip,4710,35477,1907
zip,4711,67131,1907
zip,4712,83716,1907
zip,4713,48759,1907
zip,4714,60951,1907
zip,4715,81247,1907
zip,4716,82842,1907
zip,4717,20062,1907
zip,4718,82601,1907
zip,4719,67131,1907
zip,4720,25425,1907
zip,4721,83545,1907
zip,4722,35070,1907
zip,4723,78264,1907
zip,4724,58255,1907
zip,4725,7715,1907
zip,4726,24009,1907
zip,4727,64625,1907
zip,4728,46380,1907
zip,4729,30328,1907
zip,4730,24045,1907
zip,4731,19958,1907
zip,4732,49115,1907
zip,4733,99762,1907
zip,4734,20081,1907
zip,4735,29153,1907
zip,4736,59214,1907
zip,4737,23315,1907
zip,4738,59083,1907
zip,4739,85662,1907
zip,4740,7801,1907
zip,4741,6068,1907
zip,4742,82329,1907
