16224.childexemp,a0,0,16224,childexemp
199852.childexemp,,0,199852,childexemp
29622.state,NJ,CO,29622,state
7851.phone,222-8737,851-5954,7851,phone
119137.state,mCT,CT,119137,state
49772.singleexemp,***,0,49772,singleexemp
30388.state,AR,OK,30388,state
106893.maritalstatus,nM,M,106893,maritalstatus
58007.salary,2500,25000,58007,salary
143117.state,R,AR,143117,state
28049.state,NJ,IL,28049,state
27812.lname,Anselstettre,Anselstetter,27812,lname
31271.marriedexemp,i0,0,31271,marriedexemp
129315.phone,,548-6167,129315,phone
106992.city,AVENEL,RAVENEL,106992,city
25750.state,RqI,RI,25750,state
177384.salary,4000,45000,177384,salary
86101.lname,uVenkataraman,Venkataraman,86101,lname
29686.state,AR,VT,29686,state
149192.maritalstatus,yS,S,149192,maritalstatus
93932.singleexemp,100,1000,93932,singleexemp
173853.maritalstatus,S,M,173853,maritalstatus
111901.rate,y1.7942708,1.7942708,111901,rate
21318.state,YW,WY,21318,state
161280.state,D,SD,161280,state
140618.salary,55000***,55000,140618,salary
51038.marriedexemp,h220,220,51038,marriedexemp
183181.salary,700s00,70000,183181,salary
7071.childexemp,***,0,7071,childexemp
46407.state,LA,AL,46407,state
47891.rate,2.251287,2.6251287,47891,rate
60451.salary,60000***,60000,60451,salary
52763.singleexemp,k0,0,52763,singleexemp
100115.rate,70.,7.0,100115,rate
92257.singleexemp,b20,20,92257,singleexemp
93615.city,ARCHIBLAD,ARCHIBALD,93615,city
99127.gender,***,M,99127,gender
112317.maritalstatus,S,M,112317,maritalstatus
129214.state,UaT,UT,129214,state
158220.singleexemp,***,0,158220,singleexemp
123729.lname,oday,Boday,123729,lname
166204.state,O,CO,166204,state
68880.city,MAHOMT,MAHOMET,68880,city
96808.lname,aTkada,Takada,96808,lname
168411.childexemp,b0,0,168411,childexemp
137612.gender,,F,137612,gender
10753.state,NV,NY,10753,state
25552.rate,4w.75,4.75,25552,rate
98024.gender,***,F,98024,gender
50116.city,kORLANDO,ORLANDO,50116,city
179533.singleexemp,***,0,179533,singleexemp
137396.state,TC,CT,137396,state
90804.childexemp,q0,0,90804,childexemp
