6454.state,AcK,AK
8181.city,BURR ILL,BURR HILL
6921.gender,eF,F
8699.phone,47o1-7087,471-7087
17250.fname,Soonwg,Soong
14856.singleexemp,e0,0
891.state,nID,ID
17828.singleexemp,,0
19473.childexemp,,0
13491.city,SUGAR CTY,SUGAR CITY
2232.rate,.5778654,2.5778654
17008.city,ALEANDRIA,ALEXANDRIA
5014.singleexemp,f0,0
11308.state,JN,NJ
2339.areacode,06,906
18701.gender,***,F
10182.haschild,,Y
19049.childexemp,,0
6352.haschild,***,Y
6662.state,vWA,WA
4038.lname,Bedas,Beidas
3035.gender,,F
13084.phone,143-2q712,143-2712
18410.childexemp,w0,0
6946.marriedexemp,***,0
19083.city,MILOTN,MILTON
3857.areacode,21t7,217
1223.salary,75000***,75000
18336.marriedexemp,***,0
12081.city,GRETA FALLS,GREAT FALLS
1820.salary,70000***,70000
5623.haschild,***,Y
19100.childexemp,p0,0
2091.childexemp,f0,0
18136.city,CHARoLESTON,CHARLESTON
16154.phone,889-75x93,889-7593
639.state,C,DC
983.state,CD,DC
10815.state,DbC,DC
17571.state,DjC,DC
6050.singleexemp,,0
15189.childexemp,***,0
19975.areacode,02,202
3683.singleexemp,u0,0
8142.areacode,z202,202
1514.rate,t7.0,7.0
11822.maritalstatus,zM,M
10259.childexemp,,0
11040.singleexemp,,0
13792.singleexemp,,0
7335.lname,Pelaywo,Pelayo
11893.haschild,wY,Y
1333.salary,20r000,20000
15561.singleexemp,000,2000
7170.salary,40b000,40000
15521.marriedexemp,q12000,12000
7974.marriedexemp,***,0
17038.singleexemp,,0
6631.singleexemp,***,0
13206.state,C,DC
16480.areacode,907,970
7958.phone,237-5876,273-5876
15323.state,C,DC
12738.state,L,AL
15998.state,M,NM
1376.state,C,DC
9537.gender,,M
13714.phone,97-4269,977-4269
12426.singleexemp,***,0
10243.areacode,6k07,607
19713.childexemp,f0,0
12784.childexemp,z0,0
4373.rate,.575,5.75
15799.marriedexemp,21000,12000
11209.gender,,F
19080.marriedexemp,b0,0
10158.maritalstatus,***,M
14104.haschild,,N
15714.maritalstatus,,M
3176.zip,8555***,8555
7558.maritalstatus,,S
15970.singleexemp,i0,0
2102.maritalstatus,***,M
10041.fname,Mattijrs,Mattijs
11159.gender,***,M
8816.phone,34-5749,734-5749
18767.maritalstatus,***,S
4172.rate,.49,3.49
14252.state,L,AL
2229.phone,47t7-6829,477-6829
18502.childexemp,***,0
7877.state,JN,NJ
15441.lname,Baell,Bael
5428.marriedexemp,***,0
10003.city,CETNER STRAFFORD,CENTER STRAFFORD
1187.state,C,DC
5685.phone,64v4-9133,644-9133
19521.maritalstatus,,S
17342.gender,tF,F
12718.marriedexemp,1g2000,12000
13937.rate,r9.3,9.3
17794.childexemp,,0
5046.marriedexemp,***,0
7977.city,BROnCKPORT,BROCKPORT
12711.haschild,***,Y
17996.areacode,37,307
14633.childexemp,,0
18132.salary,25000***,25000
10462.fname,Georgois,Georgios
15922.childexemp,59,159
18653.fname,Hyetokman,Hyeokman
3350.childexemp,***,0
16190.zip,5j7537,57537
17579.gender,,F
13734.singleexemp,c0,0
11390.haschild,xN,N
14846.areacode,363,336
16145.marriedexemp,***,0
3326.phone,885-e8295,885-8295
3332.maritalstatus,pM,M
14053.childexemp,3300***,3300
604.state,nDC,DC
18016.childexemp,,0
3912.marriedexemp,6600***,6600
16035.marriedexemp,c0,0
7199.state,C,DC
18860.fname,Dleniz,Deniz
10543.marriedexemp,***,0
2088.state,DoC,DC
6461.fname,Ftairouz,Fairouz
4718.city,ACSPER,CASPER
3487.childexemp,130q0,1300
15241.areacode,80u2,802
5169.childexemp,***,0
18938.state,ChT,CT
