10468.rate,a3.4,3.4
6721.maritalstatus,vM,M
6529.haschild,,Y
7048.singleexemp,3362,3300
11237.lname,Dinglge,Dingle
7232.rate,***,0
4236.lname,Yadrikc,Yadrick
1614.haschild,***,N
11540.maritalstatus,***,M
9148.gender,bM,M
18250.salary,95025,95000
15637.city,MATESON,MATTESON
4258.childexemp,15,0
18771.salary,80075,80000
3189.phone,2907826,290-7826
18689.haschild,iY,Y
7260.salary,20077,20000
3891.childexemp,62,0
17683.haschild,***,Y
8105.haschild,***,Y
2243.singleexemp,27,0
9973.singleexemp,1303,1300
11636.haschild,,N
6592.marriedexemp,43,40
16099.phone,7791459,779-1459
5590.haschild,vY,Y
8673.state,AC,CA
11845.city,MC GADY,MC GRADY
9959.gender,***,M
13540.lname,Canno,Canon
6788.marriedexemp,7195,7150
5159.phone,3282204,328-2204
12796.salary,90090,90000
11344.singleexemp,2570,2475
3769.rate,.75,4.75
4972.lname,Oxbermaier,Obermaier
8161.maritalstatus,***,M
6010.haschild,dY,Y
12630.childexemp,3378,3300
12197.city,NEWz ORLEANS,NEW ORLEANS
8088.state,NdM,NM
17244.childexemp,2465,2400
14912.gender,kM,M
19584.city,NEjWHALL,NEWHALL
18658.salary,20040,20000
1778.phone,861-6596,861-6956
13124.singleexemp,956,900
5911.city,WOODSTCOK,WOODSTOCK
10218.childexemp,11,0
2171.singleexemp,4,0
16515.maritalstatus,***,M
17141.state,RP,PR
15320.marriedexemp,15,0
8732.city,BUTTE DES MORTzS,BUTTE DES MORTS
3585.gender,,F
10655.phone,306-75x31,306-7531
11646.lname,Tretkofif,Tretkoff
12090.maritalstatus,,M
5302.state,LF,FL
7797.lname,Dreslcer,Dresler
18817.gender,,F
5775.state,TtN,TN
18525.maritalstatus,***,S
8293.salary,70007,70000
19480.salary,20100,20000
17414.state,OcR,OR
13838.city,KAUNAAKAI,KAUNAKAKAI
9219.state,X,TX
4274.phone,75-7624,725-7624
15384.lname,esseguer,Messeguer
19309.rate,***,9
16930.phone,54-5218,554-5218
3361.lname,acid,Hacid
17715.lname,Kocevar,Kochevar
6731.city,MONT HOLLY,MOUNT HOLLY
3225.phone,238u-1315,238-1315
11938.city,LXEINGTON,LEXINGTON
10825.marriedexemp,43,0
19180.singleexemp,2305,2250
7420.phone,901-3013,901-3031
2422.salary,45054,45000
13104.city,OXFRD,OXFORD
11333.maritalstatus,***,S
10848.rate,3t.2227273,3.2227273
12872.singleexemp,12760,12750
12767.marriedexemp,99,0
11275.rate,w6.45,6.45
19320.maritalstatus,nM,M
19517.phone,635-23a32,635-2332
3404.rate,.4125,3.4125
14389.childexemp,68,0
12393.phone,54-9704,574-9704
5586.gender,,F
2951.phone,485-k7114,485-7114
16147.rate,p0,0
7236.haschild,,Y
19243.salary,60038,60000
6584.salary,30045,30000
13764.haschild,,N
3791.singleexemp,12,0
968.childexemp,41,0
15269.singleexemp,90,0
17441.maritalstatus,***,M
3025.haschild,***,N
15461.childexemp,40,0
2994.gender,***,M
1520.state,UiT,UT
11866.city,VOLUNTWN,VOLUNTOWN
5516.singleexemp,21,0
299.singleexemp,3394,3300
9430.childexemp,33,0
17460.maritalstatus,***,M
4808.rate,***,2
4495.maritalstatus,***,M
5669.childexemp,95,40
13286.rate,4.951945,4.8951945
18236.gender,tF,F
18660.gender,***,F
17352.city,WASHINGTOfN,WASHINGTON
17336.rate,4.40549,4.040549
9994.salary,65024,65000
13801.maritalstatus,***,S
6963.lname,yCpher,Cypher
13078.salary,55072,55000
9804.childexemp,7,0
12620.gender,***,F
16700.maritalstatus,,S
15498.childexemp,72,0
10933.salary,95002,95000
18744.phone,496-1475,469-1475
9702.maritalstatus,,S
15760.salary,90060,90000
15213.state,K,OK
351.singleexemp,3160,3100
18671.haschild,***,Y
15653.childexemp,33,0
14595.childexemp,58,0
16188.haschild,,N
9855.city,BROWNTWON,BROWNTOWN
14050.rate,2.2194020,2.2194002
19352.state,AM,MA
19455.childexemp,11,0
13032.phone,10-81859,108-1859
1225.city,OBBS,HOBBS
238.haschild,***,N
6837.rate,4.94672,4.994672
3540.rate,j5.3,5.3
6944.maritalstatus,wS,S
9462.city,MCCALxL,MCCALL
6450.singleexemp,94,0
4450.phone,975-487,975-4787
2172.rate,4f.6,4.6
5839.childexemp,50,0
12303.state,AxL,AL
11930.gender,***,M
6638.marriedexemp,12089,12000
13148.singleexemp,30,0
1498.childexemp,45,0
15623.lname,Pmrins,Prins
4955.phone,59p3-1447,593-1447
13430.singleexemp,91,0
18479.haschild,,N
17137.salary,95042,95000
18649.singleexemp,70,0
5078.city,BURT LAlKE,BURT LAKE
1646.childexemp,77,0
12001.rate,4707031,4.707031
2377.singleexemp,61,0
19047.lname,Roesnmann,Rosenmann
11519.childexemp,3083,3000
8864.state,AP,PA
19354.state,vDE,DE
5474.city,ARYMOND,RAYMOND
18252.lname,Aberzer,Aberer
978.rate,.53,5.3
754.gender,***,F
3043.marriedexemp,49,0
4343.haschild,,N
3980.phone,9968-641,996-8641
11170.rate,d0,0
14684.gender,***,F
7943.rate,***,6
1681.lname,Chaander,Chander
6121.singleexemp,66,0
4956.haschild,,N
7108.gender,,F
8956.marriedexemp,27,0
4755.rate,9.q3,9.3
12406.maritalstatus,***,S
6672.childexemp,1006,1000
15522.phone,344j-4006,344-4006
4207.singleexemp,2528,2475
9486.phone,495-419,495-9419
15651.childexemp,1083,1000
13546.childexemp,15,0
284.maritalstatus,,S
16563.haschild,jN,N
61.phone,717-r2198,717-2198
2487.lname,Kriink,Krinik
17620.salary,90096,90000
4667.salary,10099,10000
537.rate,d6,6
13889.maritalstatus,***,M
19648.city,BUTLREVILLE,BUTLERVILLE
16647.childexemp,2053,2000
236.childexemp,3346,3300
1985.maritalstatus,***,S
3536.phone,17-47064,174-7064
5567.childexemp,15,0
15837.rate,3.255,3.2575
461.gender,xM,M
