Attribute,Index,Clean Value,Dirty Value
surname,20,Kolvik,Rayne
surname,32,Guoxing,Obermaier
surname,83,Bouabdallah,Rayne
surname,97,McCain,Milicia
surname,98,Kolvik,Waldherr
surname,102,Weener,Waldherr
surname,107,Kolvik,Waldherr
surname,109,Kusakabe,Milicia
surname,118,Rudstrom,Obermaier
surname,119,Preas,Haining
surname,129,Broch,Waldherr
surname,150,Blix,Milicia
surname,178,Gull,Rayne
surname,189,Gull,Rayne
surname,192,Leifker,Rayne
surname,215,Wolin,Haining
surname,222,Rudstrom,Obermaier
surname,225,Dighe,Waldherr
surname,229,Clemm,Waldherr
surname,232,Wolin,Haining
surname,237,McCain,Milicia
surname,242,Bollman,Milicia
surname,249,Broch,Waldherr
surname,269,Dighe,Waldherr
surname,282,Ruocco,Milicia
surname,283,Guoxing,Obermaier
surname,296,Cippico,Obermaier
surname,297,Kusakabe,Milicia
surname,300,Togni,Obermaier
surname,313,Gull,Rayne
surname,315,Babb,Milicia
surname,339,Waldherr,Rayne
surname,355,Kolvik,Waldherr
surname,360,Devroye,Rayne
surname,377,Babb,Milicia
surname,378,Bollman,Milicia
surname,380,Konikowska,Waldherr
surname,389,Waldherr,Rayne
surname,414,Rudstrom,Obermaier
surname,419,Blix,Milicia
surname,423,Kolvik,Waldherr
surname,424,Broch,Waldherr
surname,425,Rudstrom,Obermaier
surname,435,Hooghiemstra,Haining
surname,442,Togni,Obermaier
surname,460,Devroye,Rayne
surname,464,Dighe,Waldherr
surname,467,Gubitoso,Waldherr
surname,492,Gubitoso,Waldherr
surname,517,Prenel,Haining
surname,528,Kakuta,Milicia
surname,538,Bertsekas,Obermaier
surname,544,Batz,Milicia
surname,552,Guyton,Milicia
surname,570,Clemm,Waldherr
surname,589,Waldherr,Rayne
surname,599,Broch,Waldherr
surname,600,Waldherr,Rayne
surname,636,Senator,Rayne
surname,638,Leifker,Rayne
surname,653,Blix,Milicia
surname,660,Leifker,Rayne
surname,663,Gull,Rayne
surname,673,Clemm,Waldherr
surname,682,Guoxing,Obermaier
surname,683,Waldherr,Rayne
surname,686,Gull,Rayne
surname,687,Remp,Rayne
surname,700,Kakuta,Milicia
surname,702,Dighe,Waldherr
surname,731,Togni,Obermaier
surname,740,Obermaier,Rayne
surname,746,Coppola,Milicia
surname,747,Coppola,Milicia
surname,749,McCain,Milicia
surname,785,Remp,Rayne
surname,794,Weener,Waldherr
surname,796,Prenel,Haining
surname,803,Batz,Milicia
surname,808,Clemm,Waldherr
surname,809,Waldherr,Rayne
surname,838,Broch,Waldherr
surname,850,Babb,Milicia
surname,858,Clemm,Waldherr
surname,860,Prenel,Haining
surname,896,Andraka,Waldherr
surname,915,Bouabdallah,Rayne
surname,924,Noltemeier,Milicia
surname,936,Yang,Haining
surname,940,Obermaier,Rayne
surname,955,Bouabdallah,Rayne
surname,982,Bertsekas,Obermaier
surname,985,Gull,Rayne
surname,988,Leifker,Rayne
surname,993,Leifker,Rayne
surname,994,Dighe,Waldherr
surname,1016,McCain,Milicia
surname,1031,Gull,Rayne
surname,1035,Yang,Haining
surname,1040,Guoxing,Obermaier
surname,1048,Kolvik,Waldherr
surname,1057,Noltemeier,Milicia
surname,1058,Bouabdallah,Rayne
surname,1063,Guyton,Milicia
surname,1070,Yang,Haining
surname,1077,Cippico,Obermaier
surname,1083,Waldherr,Rayne
surname,1089,Broch,Waldherr
surname,1090,Dighe,Waldherr
surname,1118,Broch,Waldherr
surname,1128,Togni,Obermaier
surname,1141,Rudstrom,Obermaier
surname,1155,Remp,Rayne
surname,1156,Remp,Rayne
surname,1163,Wolin,Haining
surname,1183,Gull,Rayne
surname,1197,Konikowska,Waldherr
surname,1203,Gubitoso,Waldherr
surname,1206,Bollman,Milicia
surname,1219,Wolin,Haining
surname,1241,Gubitoso,Waldherr
surname,1243,Blix,Milicia
surname,1245,Weener,Waldherr
surname,1246,Prenel,Haining
surname,1259,Devroye,Rayne
surname,1262,Devroye,Rayne
surname,1293,Coppola,Milicia
surname,1298,Waldherr,Rayne
surname,1301,Clemm,Waldherr
surname,1312,Prenel,Haining
surname,1321,Ruocco,Milicia
surname,1344,Batz,Milicia
surname,1372,Broch,Waldherr
surname,1374,McCain,Milicia
surname,1375,Guyton,Milicia
surname,1378,Dighe,Waldherr
surname,1388,Rudstrom,Obermaier
surname,1409,Bouabdallah,Rayne
surname,1421,Weener,Waldherr
surname,1428,Gubitoso,Waldherr
surname,1469,Cippico,Obermaier
surname,1536,Cippico,Obermaier
surname,1539,Weener,Waldherr
surname,1544,Broch,Waldherr
surname,1548,Weener,Waldherr
surname,1550,Waldherr,Rayne
surname,1559,Ruocco,Milicia
surname,1589,Prenel,Haining
surname,1603,Remp,Rayne
surname,1607,Gull,Rayne
surname,1612,McCain,Milicia
surname,1635,Guoxing,Obermaier
surname,1649,Clemm,Waldherr
surname,1670,Remp,Rayne
surname,1690,Guyton,Milicia
surname,1693,Waldherr,Rayne
surname,1694,Clemm,Waldherr
surname,1702,McCain,Milicia
surname,1707,Yang,Haining
surname,1718,Gull,Rayne
surname,1720,Gull,Rayne
surname,1721,Prenel,Haining
surname,1732,Babb,Milicia
surname,1737,Babb,Milicia
surname,1743,Remp,Rayne
surname,1760,Togni,Obermaier
surname,1785,Babb,Milicia
surname,1797,Broch,Waldherr
surname,1805,Devroye,Rayne
surname,1826,Preas,Haining
surname,1830,Wolin,Haining
surname,1853,Guyton,Milicia
surname,1862,Kakuta,Milicia
surname,1870,Kakuta,Milicia
surname,1871,Dighe,Waldherr
surname,1882,Obermaier,Rayne
surname,1910,Togni,Obermaier
surname,1917,Remp,Rayne
surname,1942,Senator,Rayne
surname,1951,Clemm,Waldherr
surname,1974,Coppola,Milicia
surname,1976,Babb,Milicia
surname,1987,Andraka,Waldherr
surname,1988,Dighe,Waldherr
surname,1999,Togni,Obermaier
surname,2010,Leifker,Rayne
surname,2020,Coppola,Milicia
surname,2028,Devroye,Rayne
surname,2045,Ruocco,Milicia
surname,2055,Gull,Rayne
surname,2077,Gull,Rayne
surname,2105,McCain,Milicia
surname,2114,Kakuta,Milicia
surname,2115,Ruocco,Milicia
surname,2132,Prenel,Haining
surname,2137,Obermaier,Rayne
surname,2146,Rudstrom,Obermaier
surname,2162,Andraka,Waldherr
surname,2167,Prenel,Haining
surname,2179,Kolvik,Waldherr
surname,2213,Cippico,Obermaier
surname,2223,Guoxing,Obermaier
surname,2250,McCain,Milicia
surname,2255,Blix,Milicia
surname,2265,Senator,Rayne
surname,2280,Preas,Haining
surname,2288,Wolin,Haining
surname,2297,McCain,Milicia
surname,2351,Coppola,Milicia
surname,2355,Gull,Rayne
surname,2372,Dighe,Waldherr
surname,2391,Senator,Rayne
surname,2396,Senator,Rayne
surname,2426,Blix,Milicia
surname,2428,Obermaier,Rayne
surname,2429,Babb,Milicia
surname,2439,Rudstrom,Obermaier
surname,2444,Kakuta,Milicia
surname,2462,Prenel,Haining
surname,2478,Weener,Waldherr
surname,2496,Babb,Milicia
surname,2502,Kusakabe,Milicia
surname,2514,Bollman,Milicia
surname,2539,Hooghiemstra,Haining
surname,2547,Broch,Waldherr
surname,2550,Dighe,Waldherr
surname,2561,Coppola,Milicia
surname,2566,Guoxing,Obermaier
surname,2567,Babb,Milicia
surname,2570,Babb,Milicia
surname,2573,Preas,Haining
surname,2597,Andraka,Waldherr
surname,2613,Gull,Rayne
surname,2626,Prenel,Haining
surname,2651,Guyton,Milicia
surname,2662,Wolin,Haining
surname,2668,Kusakabe,Milicia
surname,2671,Prenel,Haining
surname,2680,Batz,Milicia
surname,2699,Bollman,Milicia
surname,2710,Kusakabe,Milicia
surname,2719,Togni,Obermaier
