196399.city,SPRIGVILLE,SPRINGVILLE
93795.maritalstatus,,M
47527.lname,Leenaerst,Leenaerts
18554.childexemp,,0
26065.city,KLMARNOCK,KILMARNOCK
88309.state,AaL,AL
6053.gender,yF,F
159036.city,hRACINE,RACINE
67956.state,A,VA
126200.phone,268-455b6,268-4556
75931.childexemp,a0,0
124010.state,cAL,AL
45833.marriedexemp,y0,0
2801.lname,Mussrard,Mussard
70782.zip,54945,54495
108588.state,AoR,AR
160314.singleexemp,10,110
33525.gender,uF,F
177058.childexemp,,0
94274.singleexemp,w0,0
125832.gender,,F
21360.childexemp,300,3300
151662.state,O,MO
121913.maritalstatus,,M
38091.state,NcJ,NJ
113593.singleexemp,j0,0
26462.haschild,pY,Y
96800.state,bAL,AL
75258.rate,8.654z88,8.65488
159972.lname,Fonztana,Fontana
148086.marriedexemp,***,0
123124.marriedexemp,,0
128629.rate,.00,0.0
160817.singleexemp,a0,0
181536.childexemp,***,0
86196.maritalstatus,kS,S
141788.rate,3.g0,3.0
183594.state,RA,AR
4433.gender,jF,F
55766.state,LA,AL
173762.gender,,F
151711.childexemp,k0,0
6596.phone,70-14502,701-4502
168738.lname,Nassr,Nassar
132351.childexemp,***,0
162200.maritalstatus,,S
162509.gender,,M
151704.childexemp,n0,0
22796.areacode,982,928
128029.gender,***,M
109117.marriedexemp,260,2600
147615.phone,492-444,492-4844
117500.fname,orio,Morio
120652.fname,Nalmi,Nami
68397.maritalstatus,,S
63084.city,ALTOeN BAY,ALTON BAY
91366.childexemp,,0
99260.salary,600c00,60000
145141.salary,0500,5000
114354.areacode,80,580
38220.marriedexemp,400,1400
157703.city,WESeT GREENWICH,WEST GREENWICH
58052.salary,00000,100000
5376.state,CD,DC
44755.rate,.00,0.0
86854.areacode,60v3,603
189171.marriedexemp,,0
38304.zip,53099***,53099
10211.state,CD,DC
181421.zip,9114,97114
66399.singleexemp,***,0
123596.phone,1x47-5685,147-5685
97377.phone,571-8292,571-8229
69505.fname,Hylunseung,Hyunseung
65824.singleexemp,***,0
29074.state,kOH,OH
151935.city,PREWzITT,PREWITT
74067.zip,54772,57472
98667.state,J,NJ
135651.haschild,***,N
4704.gender,,F
90579.singleexemp,h0,0
53217.childexemp,,0
134167.haschild,cN,N
132526.state,AlR,AR
71343.phone,29-12678,291-2678
128445.salary,0000,90000
81059.city,PATERSN,PATERSON
1218.gender,,F
60322.city,ANCHORAcGE,ANCHORAGE
82118.zip,706,7506
153475.city,ARECBO,ARECIBO
156293.fname,fShoji,Shoji
79498.city,AaSBURY,ASBURY
143376.lname,Eichholz***,Eichholz
15575.areacode,4k23,423
15018.haschild,fN,N
113431.salary,r55000,55000
172545.lname,rAefi,Arefi
34303.fname,DFeorest,DeForest
139698.maritalstatus,lS,S
188365.marriedexemp,,0
178226.fname,asudev,Vasudev
196427.maritalstatus,***,M
149419.childexemp,000,1000
3605.gender,***,F
68273.rate,3.2227237,3.2227273
48607.salary,8000,80000
107639.singleexemp,b0,0
68140.state,C,NC
25193.gender,***,M
7886.rate,u5.3,5.3
83218.singleexemp,***,0
163945.singleexemp,g0,0
114305.phone,655-159,655-1509
118329.city,ASBUY,ASBURY
130882.marriedexemp,d0,0
39655.singleexemp,u0,0
164153.city,ARDMsORE,ARDMORE
144692.state,AiL,AL
61999.city,ROWESVILE,ROWESVILLE
104259.haschild,mY,Y
184722.fname,Wlm,Wilm
89985.marriedexemp,710,7150
176860.city,APPLE GRVOE,APPLE GROVE
4505.marriedexemp,,0
93794.fname,Krss,Kriss
23813.lname,Getz,Gertz
81942.state,AfL,AL
112297.gender,***,M
102868.state,L,AL
135904.rate,.0,0.0
58142.marriedexemp,***,0
190676.singleexemp,,0
50886.maritalstatus,***,M
129754.salary,9k5000,95000
175065.city,ARVDAA,ARVADA
50440.fname,aGda,Gada
102325.marriedexemp,,0
7423.marriedexemp,18,318
123789.marriedexemp,p0,0
195203.marriedexemp,6600***,6600
16180.zip,53062,53026
144675.salary,5000,45000
174157.childexemp,31b00,3100
39032.salary,60000***,60000
188807.phone,1z50-7615,150-7615
167246.lname,Stcak,Stack
66872.marriedexemp,1000,12000
121804.areacode,03,603
152728.state,EN,NE
123665.state,LA,AL
68201.marriedexemp,m0,0
89850.state,L,AL
40374.areacode,94,904
197047.marriedexemp,z0,0
59960.singleexemp,l0,0
85651.marriedexemp,***,0
183576.childexemp,d0,0
192819.gender,wF,F
98324.phone,2z18-5739,218-5739
18203.city,WNG,WING
105386.city,FSSIL,FOSSIL
122244.gender,sM,M
74637.haschild,,Y
148040.singleexemp,***,0
151370.city,ANEDRSON,ANDERSON
23417.singleexemp,***,0
95637.gender,,F
144473.marriedexemp,q0,0
