16921.gender,,F
6269.maritalstatus,,M
13674.childexemp,3369,3300
15626.city,,WEST MINOT
6097.maritalstatus,,S
6687.rate,,6.25
16040.rate,,4.967658
952.gender,,F
13367.city,,UNION DALE
19413.marriedexemp,25,0
4776.gender,,F
13596.state,,ID
17066.singleexemp,2007,2000
6806.state,,FL
4934.salary,85029,85000
11662.salary,5029,5000
14058.singleexemp,12,0
12076.gender,,F
6098.city,,ROCHESTER
3646.childexemp,74,0
12542.phone,,861-1932
7746.salary,85019,85000
16866.haschild,,Y
5284.maritalstatus,,M
3734.gender,,M
13874.state,,OH
11441.state,,PR
3983.gender,,F
11412.singleexemp,29,0
12403.haschild,,N
15689.gender,,F
17394.rate,,6.84
19135.salary,20077,20000
6490.maritalstatus,,S
12569.salary,15041,15000
70.state,,DC
11006.salary,30049,30000
12725.childexemp,7,0
6131.singleexemp,31,0
2981.gender,,M
6662.rate,,0
19759.childexemp,40,0
10490.lname,,Erwig
17439.haschild,,Y
4677.maritalstatus,,M
2915.haschild,,Y
18439.phone,,606-6765
4470.lname,,Salvail
7986.marriedexemp,303,206
3943.gender,,F
10375.lname,,Feber
19452.state,,CA
16147.haschild,,Y
12290.salary,20020,20000
4935.maritalstatus,,M
7195.haschild,,N
12.state,,MT
7281.haschild,,N
1597.state,,AK
8051.rate,,5.35
15075.city,,MARIETTA
7299.state,,CO
14451.marriedexemp,2780,2740
14111.maritalstatus,,S
6319.childexemp,20,0
14169.maritalstatus,,M
11147.singleexemp,5,0
10985.maritalstatus,,M
15524.maritalstatus,,S
12373.lname,,Kain
3535.gender,,M
4291.childexemp,79,0
8170.city,,LEMHI
2073.childexemp,156,110
19207.singleexemp,28,0
7163.city,,GIRDLER
8188.phone,,125-6844
12306.gender,,F
6768.salary,95049,95000
5160.phone,,906-3344
4602.salary,70068,70000
8494.childexemp,3342,3300
17400.maritalstatus,,S
3213.childexemp,3346,3300
18203.phone,,513-7427
10473.gender,,F
11232.lname,,Vanherpe
8720.singleexemp,91,0
9699.haschild,,Y
4642.maritalstatus,,M
4665.salary,30014,30000
11702.salary,15016,15000
531.gender,,F
7400.gender,,F
5547.rate,,4.75
16211.haschild,,N
11278.haschild,,N
7540.salary,60015,60000
280.phone,,240-8137
17802.gender,,F
5155.haschild,,Y
16670.salary,5030,5000
9776.city,,UPSALA
3791.lname,,Aluru
264.childexemp,1975,1900
2856.city,,PRESTON
17921.lname,,Muldowney
14038.rate,,3
5388.phone,,174-4230
17820.gender,,M
7050.rate,,7
2097.state,,SC
3699.lname,,Neuburg
19472.salary,55004,55000
338.singleexemp,1098,1000
2911.rate,,3.875
15633.marriedexemp,20,0
1267.singleexemp,68,0
11806.gender,,F
2799.rate,,5
16774.state,,WA
16902.phone,,106-4820
7324.gender,,F
3752.maritalstatus,,S
11652.marriedexemp,28,0
13098.marriedexemp,5,0
17469.gender,,M
654.lname,,Lindmark
15670.marriedexemp,7242,7150
16973.haschild,,Y
19347.gender,,M
17093.gender,,M
4517.state,,RI
6297.childexemp,85,0
2301.salary,90097,90000
17582.salary,40054,40000
1914.rate,,5.75
3624.childexemp,1344,1300
16706.marriedexemp,65,0
958.state,,CO
7258.marriedexemp,240,174
6744.childexemp,12,0
3846.rate,,4.75
19676.phone,,229-7818
7101.maritalstatus,,M
19493.state,,VT
13238.gender,,F
18833.phone,,846-5294
18464.phone,,944-7239
16522.phone,,254-5580
6000.gender,,M
5395.phone,,202-8098
1457.marriedexemp,31,0
13539.marriedexemp,100,0
644.rate,,0
14214.phone,,345-4424
5926.childexemp,72,0
14501.city,,PYOTE
341.singleexemp,86,0
2433.lname,,Siegrist
19239.state,,NM
9282.singleexemp,3,0
14284.phone,,822-7503
13152.salary,90023,90000
16362.lname,,Garratt
10468.lname,,Seibert
14898.maritalstatus,,M
8627.maritalstatus,,S
4055.state,,TN
14161.lname,,Eves
320.city,,BRYANT
1657.marriedexemp,97,0
14514.marriedexemp,96,0
18882.salary,100080,100000
19502.city,,PORT CRANE
17291.city,,BOW
8512.singleexemp,3655,3575
3442.state,,VA
9614.state,,OR
106.lname,,Compeau
15042.maritalstatus,,M
2258.city,,DECATUR
7462.city,,MIZE
16794.state,,OR
2730.childexemp,36,0
14638.lname,,Heijst
18149.rate,,4.040549
11096.gender,,F
12872.rate,,5
19567.state,,NV
17962.maritalstatus,,M
3411.rate,,7.85
566.gender,,F
7559.lname,,Llaberia
8385.city,,WILMINGTON
10188.maritalstatus,,M
11217.salary,45040,45000
7033.city,,PERKS
9892.haschild,,Y
17800.haschild,,N
11534.rate,,0
3121.rate,,4.330183
18999.marriedexemp,6694,6600
472.maritalstatus,,M
8029.phone,,832-2905
9658.rate,,3.4
1318.state,,HI
7298.rate,,0
8611.phone,,597-4633
15616.rate,,8.5
915.lname,,Bachenko
1939.maritalstatus,,M
16662.salary,75070,75000
12183.singleexemp,3,0
3853.haschild,,Y
3516.maritalstatus,,S
5281.phone,,902-8651
17197.lname,,Bly
2662.phone,,919-9559
8310.marriedexemp,7,0
15306.gender,,M
5024.state,,WV
13325.phone,,258-9729
3762.city,,NAMPA
9206.maritalstatus,,M
12949.marriedexemp,42,0
16617.singleexemp,5,0
14400.rate,,8.25
1939.lname,,Dean
5685.phone,,644-9133
14521.maritalstatus,,S
9336.state,,UT
14169.haschild,,N
9960.childexemp,7,0
10456.state,,KY
7929.city,,EAST SYRACUSE
6731.city,,MOUNT HOLLY
16760.phone,,246-8592
9844.state,,TN
19952.lname,,Marshall
16434.marriedexemp,73,0
16355.state,,AR
10749.salary,70083,70000
9439.marriedexemp,72,0
6781.maritalstatus,,M
11745.haschild,,N
4161.gender,,F
8525.phone,,382-6249
15877.lname,,Standing
3051.haschild,,N
11478.childexemp,74,0
1008.haschild,,Y
5163.salary,80045,80000
3338.lname,,Riet
13659.lname,,Pighin
1639.haschild,,N
1550.maritalstatus,,S
4542.gender,,F
8031.city,,GRANT
19623.salary,60020,60000
8359.haschild,,Y
17728.salary,5026,5000
6405.maritalstatus,,S
17666.salary,10099,10000
5148.haschild,,N
9903.rate,,0
15914.phone,,277-2810
9923.lname,,Steckler
4890.state,,TN
2978.rate,,0
11941.gender,,M
9248.lname,,Kriegman
18131.salary,85046,85000
10884.city,,FREDERICKSBURG
18180.singleexemp,3111,3100
18634.marriedexemp,13,0
16345.lname,,Zincke
12358.haschild,,N
10461.marriedexemp,28,0
16083.city,,VOLUNTOWN
10529.haschild,,Y
4843.gender,,M
7818.marriedexemp,30,0
6496.rate,,7
12208.city,,CARSON CITY
5758.lname,,Minnear
17773.childexemp,1074,1000
13279.maritalstatus,,M
12141.marriedexemp,43,0
9127.city,,MINTO
15956.salary,20041,20000
8151.maritalstatus,,M
8184.lname,,Opatrny
11577.state,,LA
17187.marriedexemp,6253,6200
14949.phone,,737-2191
14513.state,,LA
9894.city,,MANCHESTER
7141.city,,MAMMOTH
12291.childexemp,51,0
2518.city,,TRAVIS AFB
14124.lname,,Meeson
12842.rate,,0
6504.marriedexemp,2824,2740
1861.city,,PAGELAND
16141.state,,TN
17465.marriedexemp,88,0
8725.childexemp,70,0
4204.marriedexemp,6,0
17108.gender,,M
7404.childexemp,89,0
126.salary,10050,10000
7571.marriedexemp,4958,4950
12320.lname,,Rapps
15649.rate,,2.039795
319.rate,,0
5847.lname,,Relihan
3011.childexemp,54,20
9310.phone,,617-2141
11821.salary,55047,55000
1574.phone,,812-4666
14375.marriedexemp,2773,2740
6878.city,,MADISON
10790.salary,80042,80000
9994.haschild,,Y
2836.city,,GUAYANILLA
9309.gender,,M
15699.singleexemp,80,0
