16916.lname,Messmre,Messmer
2672.salary,5000,95000
5068.fname,Wencesls,Wenceslas
19860.singleexemp,k0,0
1556.maritalstatus,gS,S
5683.city,BTHUNE,BETHUNE
12946.state,DwC,DC
1.areacode,a508,508
8506.gender,,F
5554.childexemp,***,0
15674.gender,***,F
12609.fname,anfranco,Lanfranco
13934.fname,Maob,Mabo
9601.state,IH,HI
17175.city,BILXI,BILOXI
19752.marriedexemp,1800***,1800
18348.phone,87-3349,287-3349
17391.singleexemp,***,0
12700.singleexemp,***,0
2978.childexemp,***,0
19606.marriedexemp,600,6600
5146.childexemp,w0,0
15699.haschild,sN,N
13462.gender,oF,F
3766.childexemp,***,0
5571.haschild,***,N
13423.state,CD,DC
15755.gender,,M
11069.haschild,,Y
10078.areacode,907,970
6540.fname,Vicoria,Victoria
135.salary,25000***,25000
4583.maritalstatus,sS,S
5666.gender,bF,F
18759.childexemp,u0,0
19050.gender,zF,F
3874.zip,92,692
13206.state,C,DC
6104.lname,Dannley,Danley
15102.maritalstatus,***,S
18526.salary,5000,50000
9078.childexemp,150,1500
2762.gender,***,F
12171.marriedexemp,c0,0
482.salary,0000,10000
1128.zip,6608,6068
13485.phone,275-9260,275-9206
15776.city,BLAKCVILLE,BLACKVILLE
5738.childexemp,i0,0
264.childexemp,***,0
8719.childexemp,,0
11661.singleexemp,***,0
3665.childexemp,r0,0
16165.city,BISMARK,BISMARCK
17073.singleexemp,,0
13189.fname,Gyisbert,Gisbert
17985.phone,60-9776,860-9776
14214.areacode,9g01,901
13023.haschild,,N
16631.marriedexemp,***,0
19975.rate,9.z0,9.0
5219.marriedexemp,***,0
19760.singleexemp,z3300,3300
19402.city,CEHSTER,CHESTER
11849.singleexemp,,0
16815.singleexemp,q0,0
7966.fname,Vojech,Vojtech
8718.maritalstatus,,S
9386.state,jDC,DC
18302.haschild,***,Y
8870.state,HN,NH
14505.childexemp,***,0
4947.salary,f10000,10000
1225.singleexemp,l0,0
1731.rate,6.e0,6.0
3510.phone,507-8901,570-8901
16352.state,ED,DE
11260.marriedexemp,,0
13262.zip,43761,34761
12664.gender,hM,M
2217.city,NEWAK,NEWARK
4919.state,hIL,IL
18091.singleexemp,,0
10230.singleexemp,,0
6443.state,C,DC
14919.zip,1d4876,14876
1770.phone,769-s2105,769-2105
19314.gender,,F
9390.gender,kF,F
2288.lname,Cavallorro,Cavalloro
9917.phone,368-6l339,368-6339
5658.zip,4814f5,48145
17404.childexemp,000,1000
12554.salary,4z5000,45000
16416.childexemp,m0,0
14371.singleexemp,***,0
9487.haschild,,N
10088.city,KETTLE AFLLS,KETTLE FALLS
17333.childexemp,s0,0
4513.singleexemp,130,103
2041.salary,0000,60000
19593.maritalstatus,dS,S
10631.phone,130-4519,103-4519
17894.city,ALzBANY,ALBANY
8420.childexemp,,0
2216.maritalstatus,gS,S
4904.marriedexemp,***,0
6781.state,C,DC
13311.fname,Richabrdo,Richardo
17455.city,BOlGALUSA,BOGALUSA
11703.state,oID,ID
15836.marriedexemp,p0,0
3377.fname,Vojetch,Vojtech
12539.childexemp,,0
2365.state,nOK,OK
4451.childexemp,h0,0
17839.state,qID,ID
13583.marriedexemp,s0,0
1386.haschild,***,Y
6970.gender,xF,F
19807.state,A,GA
13830.childexemp,c0,0
6550.childexemp,1900***,1900
16635.state,DI,ID
11173.zip,84t412,84412
13241.marriedexemp,6060,6600
3174.gender,***,F
13939.gender,,F
1646.city,KNSAS CITY,KANSAS CITY
17988.haschild,***,N
5704.rate,.3,5.3
1530.gender,***,F
6392.phone,1282731,128-2731
3.city,HSATY,HASTY
15721.gender,iF,F
11768.state,DqC,DC
16354.lname,Lameb,Lambe
13407.haschild,***,Y
10290.fname,oJceli,Joceli
12808.marriedexemp,***,0
19328.state,AG,GA
14605.gender,gF,F
14945.singleexemp,u0,0
11570.areacode,450,405
11960.city,MIAIM,MIAMI
5404.fname,Subhrayjoti,Subhrajyoti
13152.haschild,,N
7720.gender,***,M
9426.state,R,PR
9202.rate,.0,0.0
8140.gender,***,M
18392.gender,***,F
7983.fname,Farkoh,Farokh
2674.singleexemp,d0,0
12165.phone,7975-565,797-5565
16572.city,KNOXVLLE,KNOXVILLE
2418.singleexemp,***,0
13947.singleexemp,***,0
14664.state,eIL,IL
13556.city,BIG SAlNDY,BIG SANDY
11207.phone,52f1-5337,521-5337
4663.zip,69772,96772
3863.childexemp,***,0
13360.state,DbC,DC
9173.city,BILLINS,BILLINGS
11067.marriedexemp,b0,0
17637.phone,923-1887,923-1878
15296.state,D,ID
16487.childexemp,,0
18155.fname,eBla,Bela
13850.state,nDC,DC
18528.state,D,ID
19402.fname,Ulisens,Ulises
19864.city,BLYTHEVLILE,BLYTHEVILLE
1267.haschild,***,Y
19678.rate,70,7.0
16033.marriedexemp,n0,0
8792.lname,Rhoall,Rohall
15518.childexemp,f0,0
17317.state,L,IL
17017.salary,15q000,15000
2717.salary,6500,65000
10168.singleexemp,***,0
14860.lname,pork,Spork
8586.gender,,F
7960.haschild,lY,Y
9535.childexemp,a0,0
752.singleexemp,2700***,2700
367.maritalstatus,***,M
3033.haschild,vY,Y
12231.areacode,370,307
6737.phone,9872111,987-2111
2619.lname,Shanblatt***,Shanblatt
3826.city,UYCCA,YUCCA
4513.childexemp,,0
10162.haschild,,Y
5368.gender,hF,F
9066.rate,m0.0,0.0
13934.salary,20m000,20000
15840.city,BLIOXI,BILOXI
11645.lname,Vminze,Vinze
11403.maritalstatus,kS,S
13731.maritalstatus,hS,S
16948.gender,rM,M
564.phone,695-1136***,695-1136
16193.areacode,72,702
17925.phone,3395491,339-5491
3484.areacode,02,202
15140.singleexemp,***,0
18772.city,COVlENTRY,COVENTRY
14492.areacode,027,207
8009.singleexemp,e0,0
17653.city,PARAOULD,PARAGOULD
3696.gender,oF,F
12508.childexemp,***,0
14808.gender,,F
15584.childexemp,72,272
9734.rate,60,6.0
16462.singleexemp,r103,103
17997.city,BALCKDUCK,BLACKDUCK
3771.haschild,,Y
1763.lname,Castatn,Castan
11283.singleexemp,***,0
18403.marriedexemp,,0
13631.childexemp,***,0
18838.maritalstatus,,M
1714.city,PATTERSONVoILLE,PATTERSONVILLE
17636.gender,xF,F
1041.marriedexemp,,0
6549.city,LBANCHESTER,BLANCHESTER
14784.salary,750p00,75000
8885.city,BILINGS,BILLINGS
6491.haschild,,N
2855.marriedexemp,,0
9.maritalstatus,***,S
4721.singleexemp,3300***,3300
10605.phone,879-832y1,879-8321
16573.state,Y,KY
10359.childexemp,***,0
10141.city,BLANCHxARD,BLANCHARD
1817.maritalstatus,***,S
12192.city,BEfLLVUE,BELLVUE
10265.zip,6531,65351
9729.haschild,wN,N
16255.marriedexemp,***,0
10030.areacode,b701,701
17349.singleexemp,***,0
16870.city,END,BEND
5400.marriedexemp,***,0
7264.state,CD,DC
11189.state,CD,DC
13049.state,CD,DC
4479.city,MC HENRdY,MC HENRY
3340.maritalstatus,,S
12968.city,BNETON,BENTON
2401.lname,Ueyama,Umeyama
9226.singleexemp,b0,0
6565.gender,,F
8231.maritalstatus,,M
14142.marriedexemp,,0
6471.state,CD,DC
14396.areacode,341,314
14272.childexemp,e0,0
11191.gender,,M
4804.rate,6.y0,6.0
9458.gender,,F
12803.gender,oF,F
11931.maritalstatus,,M
11213.state,qID,ID
15375.gender,***,F
18439.areacode,520,502
12977.childexemp,p0,0
17507.singleexemp,***,0
3869.rate,8.l5,8.5
367.singleexemp,***,0
16373.marriedexemp,7510,7150
14989.state,N,TN
14123.childexemp,,0
1117.fname,Gbriella,Gabriella
7708.city,BLUFF***,BLUFF
17156.haschild,wY,Y
14272.gender,***,F
8588.state,C,DC
18243.salary,5500,55000
13047.singleexemp,,0
13173.city,BNEDERSVILLE,BENDERSVILLE
13554.gender,***,F
14004.singleexemp,,0
10827.marriedexemp,66l00,6600
1856.areacode,137,317
18740.state,kND,ND
12699.fname,Jubichi,Juichi
13362.singleexemp,***,0
11915.lname,Ohmoot,Ohmoto
14991.zip,1u7099,17099
14745.phone,357-9869,357-8969
11348.zip,422g87,42287
4553.singleexemp,70j0,700
13672.state,CD,DC
10409.maritalstatus,fM,M
16656.childexemp,s0,0
6327.state,C,DC
3208.singleexemp,***,0
2163.city,MOvNSON,MONSON
6968.city,BRIDGEORT,BRIDGEPORT
16721.city,BEERA,BEREA
10199.gender,hM,M
6387.areacode,01,401
7144.state,CD,DC
18293.singleexemp,f0,0
19554.gender,,F
12295.lname,rivelli,Crivelli
7868.fname,iPeter,Pieter
12125.areacode,37,307
12705.maritalstatus,,S
17391.rate,.14,1.4
12409.zip,a99676,99676
3470.salary,0000,70000
5792.state,D,ID
4456.maritalstatus,tM,M
13482.state,D,ID
3846.singleexemp,2400***,2400
6510.childexemp,0,40
13344.state,D,ID
19612.singleexemp,,0
10239.city,ALEIWA,HALEIWA
17957.state,D,ID
3801.state,D,ID
9690.singleexemp,***,0
6222.fname,ago,Jago
15357.salary,9000o0,90000
18644.marriedexemp,***,0
15221.gender,fF,F
6291.zip,1483q6,14836
3729.childexemp,t0,0
7487.maritalstatus,nS,S
10089.city,SCHOOLESY MOUNTAIN,SCHOOLEYS MOUNTAIN
17817.city,ZMUBRO FALLS,ZUMBRO FALLS
6628.childexemp,***,0
2325.rate,4.s5,4.5
403.haschild,,N
6594.phone,874-710,874-7150
9506.singleexemp,1000***,1000
9498.areacode,6c62,662
8015.salary,600u00,60000
5168.fname,Juyuong,Juyoung
12775.singleexemp,,0
19710.singleexemp,t0,0
7513.lname,Gersoned,Gersonde
6706.state,lID,ID
17669.singleexemp,,0
14586.zip,7940,47940
2426.city,bBLISS,BLISS
16675.areacode,70,870
19986.maritalstatus,jS,S
17205.city,BILLIGS,BILLINGS
817.state,T,UT
987.zip,45m250,45250
13980.city,OTK,TOK
14394.marriedexemp,,0
15149.haschild,,Y
16636.areacode,a262,262
1067.fname,Avraahm,Avraham
10414.salary,30500,35000
19798.singleexemp,***,0
7521.state,EM,ME
4931.haschild,***,Y
7438.rate,.0,5.0
1963.lname,Garett,Garrett
