28291.city,BiOW,BOW
5393.singleexemp,***,0
11790.haschild,oY,Y
36669.gender,wF,F
22118.city,WESvTDALE,WESTDALE
41403.singleexemp,,0
39654.fname,Gisil,Gisli
33109.areacode,13,513
39213.phone,7f42-7344,742-7344
39468.haschild,,Y
42449.marriedexemp,4020,4200
10965.phone,612-915f6,612-9156
5944.haschild,qY,Y
44220.salary,450z00,45000
20305.gender,,F
23802.gender,sF,F
20180.state,qDC,DC
33731.haschild,,Y
21828.maritalstatus,wM,M
19563.rate,.63,4.63
26581.singleexemp,***,0
19926.singleexemp,***,0
41436.fname,Paitoxon,Paitoon
16878.haschild,aY,Y
9665.rate,00.,0.0
2906.phone,214-1z772,214-1772
25291.state,AzL,AL
6088.gender,***,F
5916.areacode,034,304
29376.childexemp,a0,0
26449.zip,85224,82524
6607.rate,3.353,3.335
35496.state,CD,DC
46407.state,LA,AL
33535.lname,Weaptherly,Weatherly
31519.singleexemp,,0
15571.fname,Holle,Hollie
17665.childexemp,,0
31117.gender,***,M
7074.childexemp,p272,272
2624.marriedexemp,r174,174
8015.rate,69.,6.9
39703.phone,148-9715,148-9751
9322.marriedexemp,x0,0
16823.singleexemp,***,0
14690.phone,1728064,172-8064
30469.city,ASSETT,BASSETT
35680.rate,62.5,6.25
33283.gender,,F
9179.zip,981c54,98154
46339.marriedexemp,7240,2740
49273.gender,tF,F
48723.salary,750r00,75000
46652.childexemp,q0,0
28563.salary,07000,70000
12797.state,xDC,DC
32092.lname,Dorsetwt,Dorsett
20554.state,C,DC
9440.marriedexemp,202,220
24717.marriedexemp,0,40
4710.marriedexemp,300c0,3000
35930.state,DhC,DC
42505.gender,,M
33847.singleexemp,f0,0
3250.childexemp,,0
25483.gender,***,F
16844.city,BIRMINGAHM,BIRMINGHAM
13882.childexemp,,0
31636.phone,958-2614,958-2164
28070.state,K,AK
49373.state,KA,AK
17451.phone,h802-9205,802-9205
40565.singleexemp,t0,0
15690.zip,63860,68360
7541.childexemp,100,1500
40860.fname,bEkawit,Ekawit
11258.fname,osimo,Zosimo
26535.city,BWEN,BOWEN
34720.rate,d7.8,7.8
24971.marriedexemp,***,0
1743.fname,Soaig,Soazig
48141.childexemp,***,0
11106.lname,uDesmedt,Desmedt
30155.state,uAR,AR
24571.maritalstatus,eS,S
46526.marriedexemp,f2600,2600
956.salary,03000,30000
4757.maritalstatus,***,M
46633.areacode,331,313
48185.zip,781,3781
34144.state,RO,OR
34728.gender,vF,F
13970.marriedexemp,22q0,220
37456.maritalstatus,bS,S
20764.childexemp,,0
48964.state,HO,OH
34016.gender,***,M
10113.gender,bM,M
897.state,KA,AK
17346.state,C,DC
14025.fname,Iyda,Iyad
21760.city,BLEN,BELEN
28624.haschild,***,N
42873.state,tAR,AR
24741.zip,83227,82327
18166.salary,z40000,40000
28546.singleexemp,***,0
41464.gender,***,M
18518.haschild,***,Y
30058.city,BOSIE,BOISE
49360.gender,***,F
22107.city,BETlHEL,BETHEL
5432.fname,Ljupoc,Ljupco
399.maritalstatus,***,M
30276.childexemp,90,900
13806.rate,d0.0,0.0
48484.marriedexemp,2450,24500
