name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
Brad_Zhaofang,Dighe,1977,Frankfurt,Defender,P.a.o.k_Fc,Tokyo,,2012,Xiaomin_Saoudi
Asis_Sinisa,Hennebert,1986,Elko,Midfield,Juventus,Salvador,BMO_Field,2010,Masum_Kasprzak
Bhuwan_Percy,Bouabdallah,1984,Guangzhou,Forward,Boavista_F.C.,Naples,Veltins-Arena,2015,Duckyoung_Padhye
Pierangela_Sudha,Tulley,1986,Greensboro,Goalkeeper,P.a.o.k_Fc,Brasilia,King_Power_Stadium,2012,Sreenivas_Wohr
Caryl_Moninder,Obermaier,1984,Warsaw,Forward,VfL_Wolfsburg,Solna,Allianz_Arena_Olympic_Stadium_Munich,2011,Atsufumi_Comparetto
Luitpold_Avra,Guyton,1981,Des,Goalkeeper,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
Ryoichi_Ilan,,1992,Vienna,Forward,FK_Partizan,Orlando,White_Hart_Lane,2013,Ryouji_Dare
Zhili_Vinay,Molzberger,,Florence,Goalkeeper,Boavista_F.C.,Naples,Veltins-Arena,2013,Srikanth_Chimia
Maggie_Zhiqiang,Dabipi,1980,La,Defender,P.a.o.k_Fc,Munich,Allianz_Arena_Olympic_Stadium_Munich,2012,Sreenivas_Wohr
Guisseppi_Abdelmadjid,Newstead,1994,Istanbul,Midfield,Juventus,Salvador,BMO_Field,2012,IlYoung_Giese
Pitro_Melek,Poulin,1975,Buffalo,Midfield,FC_Kaiserslautern,Munich,Stadio_Olimpico,2012,Atsufumi_Comparetto
Nalvo_Shaygan,Handschuh,1996,Missoula,Defender,Boavista_F.C.,Naples,Veltins-Arena,2015,Duckyoung_Padhye
Maggie_Zhiqiang,Dabipi,1980,La,Defender,P.a.o.k_Fc,Munich,Allianz_Arena_Olympic_Stadium_Munich,2012,Sreenivas_Wohr
Gina_Kenta,Besancenot,1976,Mobile,Defender,Clube_de_Regatas_do_Flamengo,Rio_de_Janeiro,Stadio_Olimpico,2013,Jeremy_Cantu
Takenobu_Leighton,Derby,1989,Savannah,Defender,Juventus,Salvador,BMO_Field,2015,Sigenobu_Bodagala
Behcet_Liu,Tomii,1991,Myrtle,Defender,P.a.o.k_Fc,Munich,Allianz_Arena_Olympic_Stadium_Munich,2012,Sreenivas_Wohr
Rastislav_Stevo,Bellosta,1976,Cozumel,Midifeld,,Arlington,Parc_des_Princes,2012,Mayan_Tautenhahn
Yannick_Ronald,Schwartzel,1977,Beaumont,Forward,Aalborg_Boldspilklub,London,Anfield,2014,Rosangela_Ketz
Hongsing_Marla,Kubicka,1993,Barcelona,Goalkeeper,Montpellier_HSC,Recife,Stade_Velodrome,2013,Bernando_Jesus
Catherina_Loan,Kolvik,1980,Killeen,Defender,Forest_Green_Rovers_F.C.,Solna,Allianz_Arena_Olympic_Stadium_Munich,2012,Srikanth_Chimia
Yuka_Prakash,Hopewell,1991,Tallahassee,Forward,Boavista_F.C.,Hamburg,Estadio_da_Luz,2015,Duckyoung_Padhye
Surapol_Yechezkel,Noltemeier,1984,Reno,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Vagan_Smallwood
Gang_Vivekananda,Hofstetter,1983,Mobile,Midfield,FC_Midtjylland,Houston,Stade_Louis_II,2011,Mattan_Edelhoff
Antonius_Ard,Rikino,1975,Prague,Defender,Toronto_FC,Stuttgart,Camp_Nou,2014,Kazuhiko_Claybrook
