621.zip,76908,76098
12080.gender,,F
19058.city,GRATOT,GRATIOT
9466.lname,Gaerman,Gamerman
14200.fname,Ayv,Avy
2614.zip,2925,29425
8613.state,WaV,WV
12946.marriedexemp,i2740,2740
17665.city,OSTON,BOSTON
11265.state,TC,CT
10880.marriedexemp,,0
2946.gender,xF,F
5011.city,CPTAIN COOK,CAPTAIN COOK
14990.state,LfA,LA
16465.state,TjN,TN
146.singleexemp,130,1370
3462.areacode,02,402
14865.marriedexemp,7240,2740
10289.salary,5000,45000
4657.city,BuRADFORD,BRADFORD
17100.gender,,F
18884.childexemp,i0,0
4250.childexemp,***,0
10828.gender,***,F
18185.singleexemp,n0,0
11483.lname,Merkct,Merckt
15809.salary,55f000,55000
18800.rate,62.5,6.25
793.childexemp,***,0
19859.city,BUNKER ILL,BUNKER HILL
17139.state,T,CT
11022.maritalstatus,***,M
12616.city,LSA VEGAS,LAS VEGAS
8620.gender,tM,M
18760.haschild,***,N
1339.state,CD,DC
3006.maritalstatus,***,S
19825.gender,***,F
9230.haschild,sY,Y
13732.phone,502-759s2,502-7592
10349.singleexemp,13,103
1371.zip,2412h1,24121
2616.state,DS,SD
15593.marriedexemp,3z800,3800
11057.maritalstatus,***,S
9081.gender,***,F
5771.haschild,,Y
13220.fname,Rewei,Renwei
10704.maritalstatus,kS,S
13649.marriedexemp,p2740,2740
19405.singleexemp,,0
5070.state,cGA,GA
18906.state,Z,AZ
831.gender,,M
11815.singleexemp,v1040,1040
8069.city,MOSCdOW,MOSCOW
5689.salary,0000,20000
6122.singleexemp,v0,0
5945.phone,213-973,213-9173
19251.rate,.0,5.0
12990.fname,Mirngsheng,Mingsheng
12843.gender,***,F
19201.singleexemp,1g000,1000
15484.childexemp,,0
782.haschild,***,N
4182.maritalstatus,***,M
111.zip,8851m9,88519
11580.rate,u3.4,3.4
10577.salary,0000,20000
2361.maritalstatus,***,S
8098.marriedexemp,,0
8233.childexemp,***,0
3287.singleexemp,,0
8769.state,CD,DC
11012.rate,q0.0,0.0
12293.state,hAZ,AZ
13123.gender,***,F
4953.state,T,CT
6783.maritalstatus,,S
10363.haschild,***,N
13590.rate,.44,4.4
17187.marriedexemp,620,6200
4368.gender,pM,M
6651.state,DqC,DC
6002.singleexemp,,0
18172.haschild,,Y
19827.marriedexemp,4800***,4800
13664.salary,09000,90000
4433.lname,Wfadey,Wadey
3467.singleexemp,f0,0
10186.gender,sF,F
17676.rate,6.48,6.84
3344.childexemp,***,0
760.gender,***,F
15301.childexemp,,0
12668.state,cCT,CT
19793.city,WgARREN,WARREN
19899.salary,70p000,70000
8807.salary,45000***,45000
7323.city,CAIPTOL HEIGHTS,CAPITOL HEIGHTS
16487.city,BONUDRANT,BONDURANT
10966.fname,arry,Larry
4695.childexemp,2400***,2400
6184.maritalstatus,tS,S
6706.city,OISE,BOISE
14505.maritalstatus,,S
15686.singleexemp,1000***,1000
1881.areacode,o502,502
6960.childexemp,b0,0
