index,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
31,abdalla_susannne,hoare,1982,gulfport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
122,abdalla_susannne,hoare,1982,gulfport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
256,abdalla_susannne,hoare,1982,gulfport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
397,abdalla_susannne,hoare,1982,gulfport,defender,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
587,abdalla_susannne,hoare,1982,gulfport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
720,abdalla_susannne,hoare,1982,gulfport,defender,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
906,abdalla_susannne,hoare,1982,gulfport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
1137,abdalla_susannne,hoare,1982,gulfport,defender,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
1205,abdalla_susannne,hoare,982,gulfport,defender,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
1287,abdalla_susannne,hoare,1928,gulfport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
1430,abdalla_susannne,hoare,182,gulfport,defendre,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
2326,abdalla_susannne,hoare,1c982,gulfport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
2459,abdalla_susannne,hoare,1892,gulfport,defender,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
2535,abdalla_susannne,hoare,982,gulfport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
2646,abdalla_susannne,hoare,198e2,gulfport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
3167,abdalla_susannne,hoare,1b982,gulfport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
3268,abdalla_susannne,hoare,982,gulfport,defender,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
3737,abdalla_susannne,hoare,1892,gulfport,defender,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
3968,abdalla_susannne,hoare,1a982,gulfport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
4044,abdalla_susannne,hoare,y1982,gulfport,defender,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
4211,abdalla_susannne,hoare,192,gulfport,defender,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
4359,abdalla_susannne,hoare,9182,gulfport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
4432,abdalla_susannne,hoare,19r82,gulfport,defender,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
4577,abdalla_susannne,hoare,1892,gbulfport,defender,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
4590,abdalla_susannne,hoare,1x982,gulfpport,midfield,valencia_cf,montevideo,constant_vanden_stock_stadium,2011,veit_luks
4802,abdalla_susannne,hoare,1892,guflport,defender,sv_werder_bremen,barcelona,boleyn_ground,2014,sigenobu_bodagala
