tid,attribute,correct_val
0,index,31
0,name,Abdalla_Susannne
0,surname,Hoare
0,birthyear,1982
0,birthplace,Gulfport
0,position,Midfield
0,team,Valencia_CF
0,city,Montevideo
0,stadium,Constant_Vanden_Stock_Stadium
0,season,2011
0,manager,Veit_Luks
1,index,122
1,name,Abdalla_Susannne
1,surname,Hoare
1,birthyear,1982
1,birthplace,Gulfport
1,position,Midfield
1,team,Valencia_CF
1,city,Montevideo
1,stadium,Constant_Vanden_Stock_Stadium
1,season,2011
1,manager,Veit_Luks
2,index,256
2,name,Abdalla_Susannne
2,surname,Hoare
2,birthyear,1982
2,birthplace,Gulfport
2,position,Midfield
2,team,Valencia_CF
2,city,Montevideo
2,stadium,Constant_Vanden_Stock_Stadium
2,season,2011
2,manager,Veit_Luks
3,index,397
3,name,Abdalla_Susannne
3,surname,Hoare
3,birthyear,1982
3,birthplace,Gulfport
3,position,Defender
3,team,SV_Werder_Bremen
3,city,Barcelona
3,stadium,Boleyn_Ground
3,season,2014
3,manager,Sigenobu_Bodagala
4,index,587
4,name,Abdalla_Susannne
4,surname,Hoare
4,birthyear,1982
4,birthplace,Gulfport
4,position,Midfield
4,team,Valencia_CF
4,city,Montevideo
4,stadium,Constant_Vanden_Stock_Stadium
4,season,2011
4,manager,Veit_Luks
5,index,720
5,name,Abdalla_Susannne
5,surname,Hoare
5,birthyear,1982
5,birthplace,Gulfport
5,position,Defender
5,team,SV_Werder_Bremen
5,city,Barcelona
5,stadium,Boleyn_Ground
5,season,2014
5,manager,Sigenobu_Bodagala
6,index,906
6,name,Abdalla_Susannne
6,surname,Hoare
6,birthyear,1982
6,birthplace,Gulfport
6,position,Midfield
6,team,Valencia_CF
6,city,Montevideo
6,stadium,Constant_Vanden_Stock_Stadium
6,season,2011
6,manager,Veit_Luks
7,index,1137
7,name,Abdalla_Susannne
7,surname,Hoare
7,birthyear,1982
7,birthplace,Gulfport
7,position,Defender
7,team,SV_Werder_Bremen
7,city,Barcelona
7,stadium,Boleyn_Ground
7,season,2014
7,manager,Sigenobu_Bodagala
8,index,1205
8,name,Abdalla_Susannne
8,surname,Hoare
8,birthyear,1982
8,birthplace,Gulfport
8,position,Defender
8,team,SV_Werder_Bremen
8,city,Barcelona
8,stadium,Boleyn_Ground
8,season,2014
8,manager,Sigenobu_Bodagala
9,index,1287
9,name,Abdalla_Susannne
9,surname,Hoare
9,birthyear,1982
9,birthplace,Gulfport
9,position,Midfield
9,team,Valencia_CF
9,city,Montevideo
9,stadium,Constant_Vanden_Stock_Stadium
9,season,2011
9,manager,Veit_Luks
10,index,1430
10,name,Abdalla_Susannne
10,surname,Hoare
10,birthyear,1982
10,birthplace,Gulfport
10,position,Defender
10,team,SV_Werder_Bremen
10,city,Barcelona
10,stadium,Boleyn_Ground
10,season,2014
10,manager,Sigenobu_Bodagala
11,index,2326
11,name,Abdalla_Susannne
11,surname,Hoare
11,birthyear,1982
11,birthplace,Gulfport
11,position,Midfield
11,team,Valencia_CF
11,city,Montevideo
