tid,attribute,correct_val
0,index,1
0,tno,0
0,fname,Pengyuan
0,lname,Zendler
0,gender,F
0,areacode,508
0,phone,744-9007
0,city,SWAMPSCOTT
0,state,MA
0,zip,1907
0,maritalstatus,M
0,haschild,N
0,salary,90000
0,rate,5.3
0,singleexemp,0
0,marriedexemp,7150
0,childexemp,0
1,index,2
1,tno,90
1,fname,Dung
1,lname,Pike
1,gender,F
1,areacode,774
1,phone,133-6113
1,city,BRIDGEWATER
1,state,MA
1,zip,2325
1,maritalstatus,S
1,haschild,N
1,salary,55000
1,rate,5.3
1,singleexemp,3575
1,marriedexemp,0
1,childexemp,0
2,index,3
2,tno,100
2,fname,Uinam
2,lname,Hekken
2,gender,F
2,areacode,339
2,phone,769-6182
2,city,BELMONT
2,state,MA
2,zip,2478
2,maritalstatus,M
2,haschild,Y
2,salary,35000
2,rate,5.3
2,singleexemp,0
2,marriedexemp,7150
2,childexemp,1000
3,index,4
3,tno,102
3,fname,Baoquan
3,lname,Guha
3,gender,F
3,areacode,339
3,phone,730-7750
3,city,EAST WALPOLE
3,state,MA
3,zip,2032
3,maritalstatus,S
3,haschild,Y
3,salary,40000
3,rate,5.3
3,singleexemp,3575
3,marriedexemp,0
3,childexemp,1000
4,index,5
4,tno,114
4,fname,Refael
4,lname,Hasida
4,gender,F
4,areacode,939
4,phone,677-3999
4,city,LUQUILLO
4,state,PR
4,zip,773
4,maritalstatus,S
4,haschild,Y
4,salary,30000
4,rate,0.0
4,singleexemp,0
4,marriedexemp,0
4,childexemp,0
5,index,6
5,tno,120
5,fname,Kayo
5,lname,Haralick
5,gender,F
5,areacode,339
5,phone,730-9081
5,city,DORCHESTER
5,state,MA
5,zip,2125
5,maritalstatus,M
5,haschild,Y
5,salary,40000
5,rate,5.3
5,singleexemp,0
5,marriedexemp,7150
5,childexemp,1000
6,index,7
6,tno,153
6,fname,John
6,lname,Sherratt
6,gender,M
6,areacode,978
6,phone,184-9558
6,city,OCEAN BLUFF
6,state,MA
6,zip,2065
6,maritalstatus,S
6,haschild,N
6,salary,60000
6,rate,5.3
6,singleexemp,3575
6,marriedexemp,0
6,childexemp,0
7,index,8
7,tno,162
7,fname,Taylor
7,lname,Sanada
7,gender,F
7,areacode,787
7,phone,500-5910
7,city,MOCA
7,state,PR
7,zip,676
7,maritalstatus,M
7,haschild,Y
7,salary,85000
7,rate,0.0
7,singleexemp,0
7,marriedexemp,0
7,childexemp,0
8,index,9
8,tno,206
8,fname,Suzan
8,lname,Duclos
8,gender,F
8,areacode,401
8,phone,664-5371
8,city,PAWTUCKET
8,state,RI
8,zip,2861
8,maritalstatus,S
8,haschild,Y
8,salary,90000
8,rate,0.0
8,singleexemp,0
8,marriedexemp,0
8,childexemp,0
9,index,10
9,tno,220
9,fname,Anthong
9,lname,Huuskonen
9,gender,M
9,areacode,939
9,phone,661-2631
9,city,LUQUILLO
9,state,PR
9,zip,773
9,maritalstatus,S
9,haschild,N
9,salary,15000
9,rate,0.0
9,singleexemp,0
9,marriedexemp,0
9,childexemp,0
10,index,11
10,tno,243
10,fname,Sonoko
10,lname,Dam
10,gender,F
10,areacode,939
10,phone,206-1159
10,city,CABO ROJO
10,state,PR
10,zip,623
10,maritalstatus,S
10,haschild,N
10,salary,45000
10,rate,0.0
10,singleexemp,0
