174924.rate,,3.6
44367.lname,,Nikovski
196507.singleexemp,,0
95564.salary,,35000
21245.childexemp,,0
84892.salary,,50000
166384.state,,IL
130304.childexemp,,1500
93795.maritalstatus,,M
114190.city,,BIRCHWOOD
95263.salary,,80000
174117.gender,,F
111755.singleexemp,,0
178208.marriedexemp,,0
140168.phone,,854-1076
174657.lname,,Soleimanipour
31504.marriedexemp,,6600
126539.city,,ROCK
6985.maritalstatus,,S
69049.marriedexemp,,0
99283.lname,,Keam
38418.phone,,417-6273
117687.phone,,686-3172
46426.childexemp,,3000
155507.maritalstatus,,M
166577.rate,,0.0
182860.city,,LAUREL
147027.haschild,,N
21544.state,,WY
180305.phone,,286-8873
5202.singleexemp,,0
125327.lname,,Bang
99433.rate,,0.0
120807.haschild,,N
75895.city,,BAYARD
84887.maritalstatus,,S
170413.phone,,517-6358
156148.childexemp,,300
95923.city,,HONOLULU
11241.salary,,95000
35840.rate,,5.3
41884.haschild,,N
97577.lname,,Banbara
65862.state,,ID
48132.marriedexemp,,0
197888.maritalstatus,,S
195154.childexemp,,300
145966.state,,VT
88212.haschild,,N
76067.lname,,Reinman
174435.singleexemp,,0
62341.haschild,,N
79644.state,,ME
182105.lname,,Brook
67702.childexemp,,0
195189.phone,,692-6564
145333.gender,,M
142447.phone,,724-9824
439.lname,,Biederman
26316.marriedexemp,,0
116129.maritalstatus,,M
55089.phone,,557-8372
8336.state,,ND
42404.marriedexemp,,4200
170054.haschild,,Y
124442.city,,BOGALUSA
72530.lname,,Azizoglu
30109.phone,,660-4772
106735.maritalstatus,,M
87167.marriedexemp,,4200
30986.maritalstatus,,M
44188.singleexemp,,3300
182490.gender,,F
192406.rate,,5.0
32537.marriedexemp,,0
138687.childexemp,,1000
121807.marriedexemp,,0
181725.haschild,,N
114156.rate,,2.8569736
186322.lname,,Katragadda
49924.gender,,F
107058.singleexemp,,0
69001.maritalstatus,,S
163135.lname,,Peek
103879.state,,NM
131710.rate,,3.0
113025.city,,MC GAHEYSVILLE
32082.salary,,75000
6084.phone,,802-5725
20500.lname,,Plug
10736.singleexemp,,1040
127811.singleexemp,,0
147175.salary,,65000
111455.phone,,651-6038
133946.gender,,M
125643.singleexemp,,20
84838.childexemp,,0
92759.childexemp,,0
172286.singleexemp,,2100
168368.maritalstatus,,M
20617.phone,,221-3063
172424.salary,,65000
113688.singleexemp,,0
65025.salary,,45000
133234.marriedexemp,,0
172918.city,,MILLINOCKET
73365.salary,,25000
32648.rate,,3.2222223
77015.phone,,455-4929
175425.childexemp,,1000
156593.state,,NC
82736.marriedexemp,,0
122474.childexemp,,3300
180467.lname,,Isahara
73643.marriedexemp,,0
47880.childexemp,,0
112270.singleexemp,,0
44787.singleexemp,,0
178555.salary,,30000
185725.state,,MD
151502.lname,,Treese
130161.singleexemp,,0
169227.gender,,M
93795.gender,,M
177734.singleexemp,,0
127417.phone,,587-5983
173290.rate,,6.9
37912.childexemp,,0
110376.singleexemp,,0
106974.childexemp,,2250
91953.salary,,45000
148293.childexemp,,0
115426.marriedexemp,,0
178329.lname,,Astor
152998.rate,,4.75
53189.childexemp,,0
113035.lname,,Rain
44169.state,,UT
168445.city,,OHLMAN
148034.phone,,871-8135
122467.singleexemp,,0
121016.singleexemp,,4500
161558.singleexemp,,40
27787.salary,,90000
100534.maritalstatus,,M
185257.gender,,M
162099.childexemp,,0
133550.state,,WV
53510.phone,,387-8989
110580.childexemp,,1000
151409.state,,PA
146777.lname,,Koppol
158276.phone,,442-7571
185184.rate,,0.0
141862.gender,,F
30688.rate,,3.0
173485.state,,WI
53095.state,,OH
133271.phone,,982-4952
27971.singleexemp,,3300
90649.city,,NICOLLET
146701.marriedexemp,,4200
83981.maritalstatus,,M
41014.maritalstatus,,S
73209.city,,DAFTER
113709.singleexemp,,0
85904.lname,,Nergos
16500.maritalstatus,,S
115093.marriedexemp,,0
156460.singleexemp,,3300
62870.maritalstatus,,M
169906.phone,,461-8463
165643.singleexemp,,0
53328.marriedexemp,,5400
113165.rate,,6.25
12156.state,,DE
92706.gender,,M
29605.lname,,Blelloch
85113.state,,DE
82084.salary,,75000
1446.gender,,M
67010.rate,,5.268182
188604.maritalstatus,,S
132526.salary,,45000
5957.childexemp,,0
187330.rate,,7.0
71477.rate,,7.8
125194.lname,,Lubbe
5612.lname,,Lust
54519.rate,,1.4
31658.singleexemp,,3100
83171.maritalstatus,,S
140857.singleexemp,,4500
47052.lname,,Parveen
109119.gender,,M
68814.salary,,75000
90058.singleexemp,,40
95875.marriedexemp,,0
89707.salary,,90000
62595.lname,,Dowell
199091.lname,,Ohtsu
36810.rate,,7.4102564
69543.maritalstatus,,M
786.childexemp,,0
152474.singleexemp,,4500
172773.childexemp,,0
98852.singleexemp,,0
89071.salary,,45000
121234.gender,,F
50391.state,,AZ
145939.haschild,,Y
74192.city,,STENNIS SPACE CENTER
117300.phone,,789-5983
152259.singleexemp,,0
130056.rate,,0.0
10878.state,,AZ
70993.gender,,M
161687.childexemp,,159
21325.marriedexemp,,0
74498.maritalstatus,,S
103777.marriedexemp,,6600
120306.marriedexemp,,0
196595.gender,,M
80889.singleexemp,,0
198871.singleexemp,,159
103420.lname,,Vlaxodimitropoulos
8491.childexemp,,0
135587.salary,,10000
97074.city,,CRAWFORDSVILLE
1106.childexemp,,2850
132471.maritalstatus,,S
180516.marriedexemp,,4950
625.lname,,Gold
105126.lname,,Boshuizen
146080.state,,WV
158667.singleexemp,,0
130628.salary,,10000
109884.gender,,M
134530.marriedexemp,,0
86428.lname,,D''Hont
103448.rate,,0.0
123743.maritalstatus,,S
159245.phone,,394-3198
162557.phone,,431-9958
133169.state,,NM
31354.childexemp,,0
40260.singleexemp,,0
89472.rate,,0.0
54134.salary,,90000
15358.haschild,,Y
166374.singleexemp,,0
91398.lname,,Kambhampati
80540.haschild,,N
67972.rate,,3.0
79764.salary,,45000
106151.maritalstatus,,S
31502.singleexemp,,0
193760.childexemp,,0
96832.haschild,,Y
173180.city,,LAS VEGAS
23454.singleexemp,,0
21782.phone,,342-5512
141947.gender,,M
19106.city,,VERONA
45420.marriedexemp,,0
45326.lname,,Erman
141028.city,,ORIENT
88512.singleexemp,,0
133460.singleexemp,,0
65531.childexemp,,0
4418.city,,SAINT JOE
87573.state,,VT
