155701.fname,Shireli,Shirlei
180720.city,SAmLT LAKE CITY,SALT LAKE CITY
53691.rate,.0,6.0
96568.haschild,***,N
29583.city,SALT LAKE ITY,SALT LAKE CITY
32336.areacode,880,808
48939.maritalstatus,,S
177290.marriedexemp,e0,0
189404.state,K,AK
188771.zip,7445,70445
12138.singleexemp,v0,0
151339.lname,Tsiligariis,Tsiligaridis
158123.singleexemp,33c00,3300
77301.singleexemp,***,0
53466.childexemp,e0,0
24830.gender,***,F
135978.areacode,720,702
24482.city,ALBQUERQUE,ALBUQUERQUE
2466.singleexemp,0,40
158709.maritalstatus,***,M
194299.state,AV,VA
197210.fname,Zejyun,Zejun
125896.singleexemp,,0
74012.gender,***,M
115346.gender,qF,F
9321.salary,08000,80000
53040.rate,8.9e8,8.98
31595.city,ASON CITY,MASON CITY
154503.fname,Shietug,Shietung
159777.state,NiJ,NJ
12576.city,ABLUQUERQUE,ALBUQUERQUE
88955.state,IW,WI
170393.childexemp,,0
154512.childexemp,,0
58937.lname,Kaey,Kaye
74633.zip,978c33,97833
199027.salary,9500,95000
80620.zip,22932***,22932
185905.marriedexemp,,0
34228.state,AaK,AK
139575.zip,27526,27562
32595.state,KO,OK
33369.fname,Darly,Daryl
9988.state,JN,NJ
49033.state,K,AK
58573.childexemp,v0,0
128459.maritalstatus,***,M
78442.marriedexemp,,0
1221.gender,,F
22628.fname,uBd,Bud
8788.state,K,AK
155924.state,KA,AK
59726.rate,0k.0,0.0
22889.state,eNJ,NJ
78767.maritalstatus,***,M
160788.salary,x50000,50000
181572.gender,***,F
113424.singleexemp,***,0
168721.rate,s5.0,5.0
184468.phone,127-50m81,127-5081
106764.gender,iF,F
2265.fname,Aigdor,Agigdor
488.gender,rF,F
164696.marriedexemp,***,0
35012.childexemp,,0
36786.areacode,07,207
98667.state,J,NJ
29817.fname,Clbaus,Claus
105469.lname,Shteot,Shteto
100398.zip,56132,51632
132065.salary,6k5000,65000
975.state,RvI,RI
51029.city,AH FLAT,ASH FLAT
73228.singleexemp,y0,0
154269.areacode,g802,802
35950.phone,64-4346,642-4346
1218.gender,,F
56680.singleexemp,***,0
123085.salary,20000***,20000
92767.salary,3500,35000
28612.city,AoLBUQUERQUE,ALBUQUERQUE
83139.marriedexemp,***,0
112706.singleexemp,u0,0
41061.fname,Ekkrart,Ekkart
2579.childexemp,,0
89199.gender,mF,F
77442.areacode,n302,302
84977.marriedexemp,***,0
149391.haschild,,N
48407.phone,30-7636,320-7636
181950.marriedexemp,,0
35387.rate,4.881097,4.3881097
1414.gender,nF,F
91226.rate,60.,6.0
136548.state,NnJ,NJ
193881.singleexemp,***,0
56981.rate,.5,6.5
93248.marriedexemp,***,0
132006.city,ALOVA,ALCOVA
51616.maritalstatus,***,M
155903.lname,harland,Charland
157697.childexemp,y0,0
175678.salary,55000***,55000
922.gender,,F
141261.phone,947-7918,947-7981
43525.marriedexemp,,0
183592.maritalstatus,,S
198132.areacode,78,678
95148.state,RP,PR
125569.phone,10-5072,110-5072
118144.city,ALBUfQUERQUE,ALBUQUERQUE
87518.marriedexemp,r0,0
136131.childexemp,b0,0
42570.lname,Yqaoi,Yaoi
71240.gender,,F
760.state,C,DC
122741.city,AsNTLER,ANTLER
109502.childexemp,,0
188926.childexemp,v2850,2850
6683.fname,Ambryos,Ambros
40904.fname,Eitsu,Eitesu
755.gender,kF,F
60224.rate,50.,5.0
128636.phone,4x21-6549,421-6549
196926.city,WITTpEN,WITTEN
179436.city,LAEKNAGIK,ALEKNAGIK
55611.gender,nM,M
79919.marriedexemp,m0,0
170942.city,QUAKER ILL,QUAKER HILL
42922.maritalstatus,yM,M
167732.state,KA,AK
80044.zip,684h2,6842
125652.fname,Nofmi,Nofumi
858.gender,tF,F
147128.singleexemp,190,1900
57250.maritalstatus,tM,M
737.gender,,F
26901.maritalstatus,uM,M
10377.salary,15000***,15000
151569.haschild,,Y
152735.marriedexemp,800,1800
188771.singleexemp,45b00,4500
43110.marriedexemp,800,4800
66834.fname,Hnoghai,Honghai
115167.lname,ugge,Rugge
87269.zip,3049i9,30499
147240.marriedexemp,4000***,4000
198929.childexemp,***,0
1116.gender,,F
96522.lname,fSgarro,Sgarro
159868.areacode,799,979
161197.fname,Serekumar,Sreekumar
2707.state,C,DC
47161.singleexemp,***,0
181559.gender,,F
137030.singleexemp,b0,0
187586.childexemp,p0,0
99507.marriedexemp,***,0
77938.childexemp,,0
105956.lname,Raneithel,Raeithel
191027.areacode,56,856
91311.singleexemp,,0
193099.state,J,NJ
55600.state,AmK,AK
143047.singleexemp,***,0
190862.fname,ibei,Yibei
751.gender,jF,F
107681.state,NT,TN
43714.fname,Erlo,Erol
138453.city,WASIHNGTON,WASHINGTON
4911.phone,961-580,961-5880
184981.state,zNJ,NJ
55642.lname,iBan,Bian
143703.singleexemp,200,2700
199248.zip,8529,85249
3906.singleexemp,,0
19354.city,sBLYTHEWOOD,BLYTHEWOOD
194135.areacode,2c08,208
184958.maritalstatus,***,M
173730.city,AoLBUQUERQUE,ALBUQUERQUE
91480.haschild,bY,Y
47176.state,J,NJ
191376.gender,iM,M
124217.city,HANCOmCK,HANCOCK
105363.singleexemp,,0
169021.gender,bF,F
17573.city,BERWICzK,BERWICK
51895.singleexemp,***,0
22149.singleexemp,700***,700
87511.state,KpS,KS
17830.state,KA,AK
96495.city,SAuLINAS,SALINAS
480.gender,***,F
115763.maritalstatus,***,S
19952.fname,Bismwa,Biswa
157720.maritalstatus,,M
27030.gender,,F
71771.phone,34-8806,364-8806
25850.singleexemp,w0,0
34913.city,LBUQUERQUE,ALBUQUERQUE
155284.haschild,iN,N
124349.phone,233-4672,233-4762
72928.childexemp,***,0
134885.singleexemp,q87,87
123504.rate,.0,0.0
1366.gender,cF,F
1342.gender,***,F
163146.marriedexemp,r0,0
179951.fname,Vnieet,Vineet
88850.haschild,,Y
84806.maritalstatus,xS,S
175393.state,J,NJ
178689.areacode,710,701
188955.city,ALBUQEURQUE,ALBUQUERQUE
1329.gender,bF,F
