index,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
186763,Abdalla_Susannne,Hoare,182,Gulfpot,Defendeer,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
125568,Abdalla_Susannne,Hoare,1928,uGlfport,xDefender,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
118722,Abdalla_Susannne,Hoare,1928,Gulfpot,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
40553,Abdalla_Susannne,Hoare,182,Gulfort,dDefender,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
82970,Abdalla_Susannne,Hoare,192,Gulfort,Defeder,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
100031,Abdalla_Susannne,Hoare,182,Guelfport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
7951,Abdalla_Susannne,Hoare,192,Gulfpkort,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
191449,Abdalla_Susannne,Hoare,982,uGlfport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
82968,Abdalla_Susannne,Hoare,982,Gufport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
191530,Abdalla_Susannne,Hoare,982,uGlfport,Dfeender,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
106913,Abdalla_Susannne,Hoare,19c82,ulfport,Defedner,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
34074,Abdalla_Susannne,Hoare,9182,Gulxfport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
166942,Abdalla_Susannne,Hoare,empty,Glufport,Defeonder,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
39569,Abdalla_Susannne,Hoare,t1982,Gxulfport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
90411,Abdalla_Susannne,Hoare,1928,Gulfpotr,Defendfer,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
156191,Abdalla_Susannne,Hoare,1s982,Gufport,Deflender,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
906,Abdalla_Susannne,Hoare,1t982,Gulfport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
100122,Abdalla_Susannne,Hoare,192,Guflport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
56785,Abdalla_Susannne,Hoare,982,uGlfport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
8925,Abdalla_Susannne,Hoare,1892,Gulfpot,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
18722,Abdalla_Susannne,Hoare,192,ulfport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
83108,Abdalla_Susannne,Hoare,19r82,pGulfport,mDefender,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
139854,Abdalla_Susannne,Hoare,192,Gulfpot,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
106681,Abdalla_Susannne,Hoare,198c2,Gulfprot,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
73788,Abdalla_Susannne,Hoare,982,Gulfpnort,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
106706,Abdalla_Susannne,Hoare,982,Gulfpotr,Defedner,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
181174,Abdalla_Susannne,Hoare,j1982,Gulfprt,Delfender,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
38351,Abdalla_Susannne,Hoare,182,Gulfzport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
191348,Abdalla_Susannne,Hoare,1h982,Gulfporpt,Deefnder,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
51446,Abdalla_Susannne,Hoare,982,Gufport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
130937,Abdalla_Susannne,Hoare,1y982,Gulfpoart,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
191360,Abdalla_Susannne,Hoare,198l2,Gulfpotr,Defeder,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
83021,Abdalla_Susannne,Hoare,982,Gulpfort,Defewnder,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
47713,Abdalla_Susannne,Hoare,198j2,Gulfvport,Defnder,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
82856,Abdalla_Susannne,Hoare,1f982,Gulfpnort,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
143960,Abdalla_Susannne,Hoare,1e982,Gulfpofrt,Defendr,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
118868,Abdalla_Susannne,Hoare,182,Gulfprot,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
191592,Abdalla_Susannne,Hoare,l1982,Gufport,Defenedr,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
7429,Abdalla_Susannne,Hoare,19c82,Gulfoprt,Defender,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
26750,Abdalla_Susannne,Hoare,192,Gulfprot,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
144226,Abdalla_Susannne,Hoare,1928,uGlfport,Deefnder,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
191899,Abdalla_Susannne,Hoare,982,Gulfwport,Defendezr,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
139569,Abdalla_Susannne,Hoare,198l2,ulfport,Midfield,Valencia_CF,Montevideo,Constant_Vanden_Stock_Stadium,2011,Veit_Luks
134814,Abdalla_Susannne,Hoare,182,Gulfprt,empty,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
10620,Abdalla_Susannne,Hoare,982,Gulport,Defender,SV_Werder_Bremen,Barcelona,Boleyn_Ground,2014,Sigenobu_Bodagala
