fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
Pengyuan,Zendler,F,508,744-9007,SWAMPSCOTT,MA,1907,M,N,90000,5.3,0,7150,0
Xiangning,Vanneste,F,862,651-6469,BRIGANTINE,NJ,8203,M,Y,55000,1.9519792,0,2000,1500
Babette,Abawajy,M,202,222-8737,WASHINGTON,DC,20226,S,N,95000,9.0,1370,0,0
Rossella,Chinen,F,202,868-7188,WASHINGTON,CD,20541,S,N,35000,9.0,1370,0,0
Nabuo,Lugli,F,203,800-6915,SOUTHBURY,CT,6488,S,N,90000,5.0,12750,0,0
Howard,Kageura,M,203,243-4810,STAMFORD,CT,6913,S,N,80000,5.0,12750,0,0
Chaisak,Lageweg,M,302,577-3291,NEWARK,DE,19711,M,Y,95000,5.95,0,220,110
Heeju,Liberman,M,802,101-6985,EAST WALLINGFORD,VT,5742,S,N,40000,3.800944,3300,0,0
Surjatini,Stellhorn,M,802,915-9500,WATERBURY,VT,5671,M,Y,35000,3.7014668,0,6600,3300
Avelino,English,M,401,795-3153,WESTERLY,RI,2891,M,Y,70000,0.0,0,0,0
Yuyan,Simao,M,603,350-5756,EAST DERRY,NH,3041,M,Y,50000,0.0,0,0,0
Toshiya,Moshkow,M,609,858-3419,BELLEVILLE,NJ,7109,S,Y,75000,2.267396,1000,0,1500
Naomi,Jolfaei,F,802,284-1040,BARRE,VT,5641,S,Y,30000,3.6019895,3300,0,3300
Rosana,Prabhakar,M,716,742-9434,SCHENECTADY,NY,12308,S,N,20000,4.0695124,0,0,0
Antoni,Bober,F,860,822-3830,EAST WOODSTOCK,CT,6244,S,Y,70000,5.0,12750,0,0
Masadi,Punnekkat,F,717,492-9196,NORTH EAST,PA,16428,S,Y,35000,3.07,0,0,0
Tankoano,Stumptner,M,203,717-2198,VERSAILLES,NJ,6383,M,Y,5000,3.0,0,24500,0
Montgomery,Odberg,M,802,390-6816,BROWNSVILLE,VT,5037,S,N,60000,4.1988535,3300,0,0
PeiZong,Cardazo,F,856,512-8410,TOMS RIVER,NJ,8755,M,N,45000,1.7942707999999998,0,2000,0
Teemu,Krybus,M,302,229-8352,CHESWOLD,DE,19936,M,N,15000,2.8818183,0,220,0
Glauco,Pottossine,M,202,785-2906,WASHINGTON,C,20528,M,N,20000,6.75,0,2740,0
Mirit,Hanchek,F,603,995-2629,CANAAN,NJ,3741,M,Y,70000,0.0,0,0,0
Gudala,Earley,F,203,691-8996,ONECO,CT,6373,M,N,55000,5.0,0,24500,0
Heidi,Keum,F,302,657-4843,WILMINGTON,DE,19899,S,Y,75000,5.95,110,0,110
Hiromu,Nobauer,M,401,119-4372,KINGSTON,RI,2881,S,N,75000,0.0,0,0,0
