index,tno,fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
1,0,pengyuan,zendler,f,508,744-9007,swampscott,ma,1907,m,n,90000,5.3,0,7150,0
2,90,dung,pike,f,774,133-6113,bridgewater,ma,2325,s,n,55000,5.3,3575,0,0
3,100,uinam,hekken,f,339,769-6182,belmont,ma,2478,m,y,35000,5.3,0,7150,1000
4,102,baoquan,guha,f,339,730-7750,east walpole,ma,2032,s,y,40000,5.3,3575,0,1000
5,114,refael,hasida,f,939,677-3999,luquillo,pr,773,s,y,30000,0.0,0,0,0
6,120,kayo,haralick,f,339,730-9081,dorchester,ma,2125,m,y,40000,5.3,0,7150,1000
7,153,john,sherratt,m,978,184-9558,ocean bluff,ma,2065,s,n,60000,5.3,3575,0,0
8,162,taylor,sanada,f,787,500-5910,moca,pr,676,m,y,85000,0.0,0,0,0
9,206,suzan,duclos,f,252,664-5371,pawtucket,ri,2861,s,y,90000,0.0,0,0,0
10,220,anthong,huuskonen,m,939,661-2631,luquillo,pr,773,s,n,15000,0.0,0,0,0
11,243,sonoko,dam,f,939,206-1159,cabo rojo,pr,623,s,n,45000,0.0,0,0,0
12,279,imari,kleinjohann,f,252,143-3552,cumberland,ri,2864,s,y,30000,0.0,0,0,0
13,281,bilhanan,sione,f,774,767-4605,needham heights,ma,2494,m,n,15000,5.3,0,7150,0
14,293,xiannong,pinzani,m,339,361-4214,south dartmouth,ma,2748,s,n,30000,5.3,3575,0,0
15,296,humphrey,ramamoorthy,f,252,466-2957,clayville,ri,2815,m,n,90000,0.0,0,0,0
16,308,ljiljana,smeets,f,508,693-9220,agawam,ma,1001,m,y,45000,5.3,0,7150,1000
17,353,nitsan,ertl,m,351,912-9267,west warren,ma,1092,s,y,75000,5.3,3575,0,1000
18,357,ludwik,hamburg,m,978,529-7308,ashfield,ma,1330,m,y,5000,5.3,0,7150,1000
19,373,lein,ang,f,857,188-6322,holyoke,ma,1041,s,y,90000,5.3,355,0,1000
20,386,fernand,panagopoulou,f,508,205-7989,chicopee,ma,1013,m,y,90000,5.3,0,7150,1000
21,421,avadis,dattasharma,m,508,449-5112,accord,ma,2018,s,y,85000,5.3,3575,0,1000
22,430,toshifumi,leguy,f,939,334-4361,canovanas,pr,729,m,y,45000,0.0,0,0,0
23,432,houssem,sewry,m,252,266-7110,harrisville,ri,2830,s,n,55000,0.0,0,0,0
24,433,saydean,banare,m,508,137-3292,east weymouth,ma,2189,s,y,5000,5.3,3575,0,1000
25,486,staphane,spitz,f,774,393-2358,stow,ma,1775,m,n,50000,5.3,0,7150,0
26,495,hongwei,clo,m,413,475-1491,east falmouth,ma,2536,m,y,80000,5.3,0,7150,1000
27,502,paramsothy,orgass,f,774,823-8510,mill river,am,1244,m,y,10000,5.3,0,7150,1000
28,504,toshihiro,gerla,f,351,318-2767,boston,ma,2284,s,y,20000,5.3,3575,0,1000
29,549,gennaro,trumbly,m,787,595-5613,coto laurel,pr,780,s,y,15000,0.0,0,0,0
30,577,mel,kiesler,m,787,296-3383,boqueron,pr,622,s,y,100000,0.0,0,0,0
31,583,cathryn,melton,f,252,486-2392,admsville,ri,2801,m,y,90000,0.0,0,0,0
32,614,minghui,kubota,m,508,612-5997,charlton depot,ma,1509,m,y,80000,5.3,0,7150,1000
33,616,shao,reece,m,508,565-6451,boston,ma,2118,m,y,5000,5.3,0,7150,1000
34,625,sylvian,hinnebusch,m,939,925-8319,adjuntas,r,601,s,y,45000,0.0,0,0,0
35,672,bette,szymczak,m,781,777-2635,boston,ma,2114,s,y,20000,5.3,3575,0,1000
36,684,darwyn,seegmuller,fm,774,223-3659,north attleboro,ma,2760,m,y,95000,5.3,0,7150,1000
37,746,lenhart,birch,m,413,257-5349,sandwich,ma,2563,s,n,50000,5.3,3575,0,0
38,754,parosh,takaki,m,781,792-2993,south egremont,ma,1258,m,n,95000,5.3,0,7150,0
